game name#price#top prize#launch date#odds of winning
lucky 7 's#1#777#october 12 , 2005#1 in 4.73
blackjack#1#2100#february 12 , 2008#1 in 4.63
okc thunder#2#10000#december 2 , 2008#1 in 4.36
bingo#2#15000#february 24 , 2009#1 in 3.97
3d cube cash#2#15000#february 24 , 2009#1 in 4.23
blackjack showdown#5#40000#march 31 , 2009#1 in 3.30
slots of fun#2#15000#june 23 , 2009#1 in 4.32
ace of spades#1#3000#june 23 , 2009#1 in 4.73
crossword#3#20000#july 28 , 2009#1 in 3.43
cash invasion#2#10000#july 28 , 2009#1 in 4.23
match 3 tripler#1#3000#july 28 , 2009#1 in 4.44
7 - 11 - 21#1#2100#july 28 , 2009#1 in 4.55
world poker tour : texas hold 'em#5#25000#august 25 , 2009#1 in 3.31
monopoly#2#15000#september 29 , 2009#1 in 4.32
lucky 13 doubler#2#13000#september 29 , 2009#1 in 4.34
electric 8s#1#888#september 29 , 2009#1 in 4.53
ghouls night out#1#1500#september 29 , 2009#1 in 4.54
50000 jackpot#5#50000#october 27 , 2009#1 in 3.39
deuces wild#2#10000#october 27 , 2009#1 in 4.38
jack frost#1#2000#october 27 , 2009#1 in 4.46
peng win#1#1000#october 27 , 2009#1 in 4.52
