position#team#played#drawn#lost#goals for#goals against#goal average 1#points 2
1#wigan athletic#46#6#7#94#38#2.47#72
2#runcorn#46#8#8#102#42#2.43#68
3#altrincham#46#12#8#87#43#2.02#64
4#stafford rangers#46#13#8#81#39#2.08#63
5#scarborough#46#12#10#75#45#1.67#60
6#mossley#46#11#12#78#52#1.50#57
7#gateshead united#46#12#12#74#48#1.54#56
8#goole town#46#12#15#75#71#1.06#50
9#northwich victoria#46#12#16#83#71#1.17#48
10#great harwood#46#14#15#69#66#1.05#48
11#matlock town#46#8#19#87#79#1.10#46
12#boston united#46#14#16#64#63#1.02#46
13#morecambe#46#15#17#71#87#0.82#43
14#worksop town#46#14#18#69#66#1.05#42
15#south liverpool#46#14#18#59#71#0.83#42
16#buxton#46#17#18#50#77#0.65#39
17#macclesfield town#46#14#21#46#62#0.74#36
18#lancaster city#46#10#23#53#76#0.70#36
19#bangor city#46#9#24#56#67#0.84#35
20#gainsborough trinity#46#15#21#46#79#0.58#35
21#skelmersdale united#46#7#26#63#93#0.68#33
22#barrow#46#15#22#45#72#0.63#33
23#netherfield#46#8#26#43#92#0.47#32
24#fleetwood#46#10#31#26#97#0.27#20
