position#jersey#name#height (cm)#weight (kg)#birthdate#birthplace#20022003 team#nhl rights , if any
g#29#bob goepfert#178#77#may 9 , 1983#kings park , new york#providence college#pittsburgh penguins
g#30#jimmy howard#183#93#march 26 , 1984#syracuse , new york#university of maine#2003 draft eligible
d#4#tim gleason#183#98#january 29 , 1983#clawson , michigan#windsor spitfires ( ohl )#ottawa senators
d#5#matt greene#191#101#may 13 , 1983#grand ledge , michigan#university of north dakota#edmonton oilers
d#3#matt jones#183#98#august 8 , 1983#downers grove , illinois#university of north dakota#phoenix coyotes
d#2#mark stuart#188#97#april 27 , 1984#rochester , minnesota#colorado college#2003 draft eligible
d#7#ryan suter#185#88#january , 21 1985#madison , wisconsin#us national under - 18 team ( nahl )#2003 draft eligible
d#19#ryan whitney#194#87#february 19 , 1983#scituate , massachusetts#boston university#pittsburgh penguins
d#20#james wisniewski#180#88#february 21 , 1984#canton , michigan#plymouth whalers ( ohl )#chicago blackhawks
f#23#dustin brown#187#82#november , 4 1984#ithaca , new york#guelph storm ( ohl )#2003 draft eligible
f#14#gino guyer#180#87#october 14 , 1983#coleraine , minnesota#university of minnesota#2003 draft eligible
f#10#dwight helminen#179#84#june , 22 1983#brighton , michigan#university of michigan#edmonton oilers
f#18#christopher higgins#183#92#june 2 , 1983#smithtown , new york#yale university#montreal canadiens
f#17#ryan kesler#188#92#august , 31 1984#livonia , michigan#ohio state university#vancouver canucks
f#16#brian mcconnell#185#86#february 1 , 1983#norfolk , massachusetts#boston university#calgary flames
f#15#greg moore#185#95#march 26 , 1984#lisbon , maine#university of maine#2003 draft eligible
f#21#eric nystrom#185#88#february 14 , 1983#syosset , new york#university of michigan#calgary flames
f#12#patrick o 'sullivan#180#86#february 1 , 1985#toronto , canada#mississauga icedogs ( ohl )#2003 draft eligible
f#11#zach parise#180#86#july 28 , 1984#prior lake , minnesota#university of north dakota#2003 draft eligible
f#22#ryan shannon#175#78#march 2 , 1983#darien , connecticut#boston college#undrafted
f#24#brett sterling#170#84#april 24 , 1984#los angeles , california#colorado college#2003 draft eligible
f#27#barry tallackson#193#95#april 14 , 1983#grafton , north dakota#university of minnesota#new jersey devils
