rank#heat#lane#name#nationality#time
1#4#4#yana klochkova#ukraine#4:37.64
2#2#4#yasuko tajima#japan#4:40.35
3#4#5#kaitlin sandeno#united states#4:40.89
4#3#5#beatrice căslaru#romania#4:41.04
5#4#6#jennifer reilly#australia#4:41.51
6#3#4#joanne malar#canada#4:42.65
7#2#5#nicole hetzer#germany#4:43.23
8#4#3#maddy crippen#united states#4:44.00
9#3#6#hana černá#czech republic#4:44.11
10#2#7#oxana verevka#russia#4:45.07
11#2#3#chen yan#china#4:45.65
12#2#6#rachel harris#australia#4:46.02
13#2#2#helen norfolk#new zealand#4:46.42
14#3#7#lourdes becerra#spain#4:47.50
15#4#7#federica biscia#italy#4:47.56
16#3#2#sabine herbst#germany#4:47.79
17#2#8#mirjana bosevska#macedonia#4:48.08
18#4#2#yseult gervy#belgium#4:48.31
19#3#3#liu yin#china#4:50.33
20#2#1#artemis dafni#greece#4:53.52
21#1#4#georgina bardach#argentina#4:54.31
22#3#1#carolyn adel#suriname#4:57.90
23#4#1#lee ji - hyun#south korea#4:58.94
24#1#5#jana korbasová#slovakia#4:59.05
25#4#8#sia wai yen#malaysia#4:59.18
26#3#8#adi bichman#israel#5:06.72
27#1#3#alexandra zertsalova#kyrgyzstan#5:09.03
28#1#6#nguyen thi huong#vietnam#5:26.56
