year#date#winner#result#loser#location
1980#september 22#philadelphia eagles#35 - 3#new york giants#veterans stadium
1980#october 12#philadelphia eagles#31 - 16#new york giants#giants stadium
1981#september 6#philadelphia eagles#24 - 10#new york giants#giants stadium
1981#november 22#new york giants#20 - 10#philadelphia eagles#veterans stadium
1981#december 27#new york giants#27 - 21#philadelphia eagles#veterans stadium
1982#december 11#new york giants#23 - 7#philadelphia eagles#giants stadium
1983#january 2#new york giants#26 - 24#philadelphia eagles#veterans stadium
1983#october 9#philadelphia eagles#17 - 13#new york giants#giants stadium
1983#november 20#new york giants#23 - 0#philadelphia eagles#veterans stadium
1984#september 2#new york giants#28 - 27#philadelphia eagles#giants stadium
1984#october 21#philadelphia eagles#24 - 10#new york giants#veterans stadium
1985#september 8#new york giants#21 - 0#philadelphia eagles#giants stadium
1985#september 29#new york giants#16 - 10 (ot)#philadelphia eagles#veterans stadium
1986#october 12#new york giants#35 - 3#philadelphia eagles#giants stadium
1986#november 9#new york giants#17 - 14#philadelphia eagles#veterans stadium
1987#november 15#new york giants#20 - 17#philadelphia eagles#veterans stadium
1987#december 6#new york giants#23 - 20#philadelphia eagles#giants stadium
1988#october 10#philadelphia eagles#24 - 13#new york giants#veterans stadium
1988#november 20#philadelphia eagles#23 - 17#new york giants#giants stadium
1989#october 8#philadelphia eagles#21 - 19#new york giants#veterans stadium
1989#december 3#philadelphia eagles#24 - 17#new york giants#giants stadium
