week#date#opponent#result#game site#attendance#record
1#sep 7#philadelphia eagles#l 6 - 27#veteran 's stadium#70307#0 - 1
2#sep 14#dallas cowboys#w 41 - 20#mile high stadium#74919#1 - 1
3#sep 21#san diego chargers#l 13 - 30#mile high stadium#74970#1 - 2
4#sep 29#new england patriots#l 14 - 23#schaefer stadium#60153#1 - 3
5#oct 5#cleveland browns#w 19 - 16#municipal stadium#81065#2 - 3
6#oct 13#washington redskins#w 20 - 17#mile high stadium#74657#3 - 3
7#oct 19#kansas city chiefs#l 17 - 23#mile high stadium#74459#3 - 4
8#oct 26#new york giants#w 14 - 9#giants stadium#67598#4 - 4
9#nov 2#houston oilers#l 16 - 20#mile high stadium#74717#4 - 5
10#nov 9#san diego chargers#w 20 - 13#san diego stadium#51435#5 - 5
11#nov 16#new york jets#w 31 - 24#mile high stadium#72114#6 - 5
12#nov 23#seattle seahawks#w 36 - 20#mile high stadium#73274#7 - 5
13#dec 1#oakland raiders#l 3 - 9#oakland - alameda county coliseum#51593#7 - 6
14#dec 7#kansas city chiefs#l 14 - 31#arrowhead stadium#40237#7 - 7
15#dec 14#oakland raiders#l 21 - 24#mile high stadium#73974#7 - 8
