name#no specimens#abbr#country#city
royal botanic gardens kew#7000000#k#uk#kew , england
british museum of natural history#5200000#bm#uk#london , england
royal botanic garden , edinburgh#2000000#e#uk#edinburgh , scotland
university of cambridge#1000000#cge#uk#cambridge , england
university of manchester#1000000#manch#uk#manchester , england
national botanic gardens , ireland#600000#dbn#ireland#dublin
national museums & galleries of wales#550000#nmw#uk#cardiff , wales
fielding - druce herbarium , university of oxford#500000#oxf#uk#oxford , england
cabi bioscience uk centre#385000#imi#uk#surrey , england
world museum liverpool#350000#liv#uk#liverpool , england
daubeny herbarium , university of oxford#300000#fho#uk#oxford , england
university of reading#254000#rng#uk#reading , england
trinity college#230000#tcd#ireland#dublin
university of birmingham#150000#birm#uk#birmingham , england
university of leicester#125000#ltr#uk#leicester , england
university of aberdeen#120000#abd#uk#aberdeen , scotland
south london botanical institute#100000#slbi#uk#london , england
nottingham natural history museum#91000#not#uk#nottingham , england
leicestershire museums#90000#lsr#uk#leicester , england
british antarctic survey#40000#aas#uk#cambridge , england
derby museum and art gallery#8000#dby#uk#derby , england
charterhouse school herbarium#8000#god#uk#godalming , england
