year#country / territory#miss international#national title#location
2013#tba#tba#tba#tokyo , japan
2012#japan#ikumi yoshimatsu#miss japan#okinawa , japan
2011#ecuador#fernanda cornejo#miss ecuador#chengdu , china
2010#venezuela#elizabeth mosquera#miss venezuela#chengdu , china
2009#mexico#anagabriela espinoza#nuestra belleza méxico#chengdu , china
2008#spain#alejandra andreu#miss spain#macau , china
2007#mexico#priscila perales#nuestra belleza méxico#tokyo , japan
2006#venezuela#daniela di giacomo#miss venezuela#beijing , china
2005#philippines#lara quigaman#binibining pilipinas#tokyo , japan
2004#colombia#jeymmy vargas#miss colombia#beijing , china
2003#venezuela#goizeder azúa#miss venezuela#tokyo , japan
2002#lebanon#christina sawaya#miss lebanon#tokyo , japan
2001#poland#małgorzata rożniecka#miss polonia#tokyo , japan
2000#venezuela#vivian urdaneta#miss venezuela#tokyo , japan
