nat#name#moving from#type#transfer window#ends#transfer fee#source
por#morais#chelsea#transfer#summer#2009#free#reuterscom
mkd#nikolovski#slaven belupo#transfer#summer#2009#free#-
bra#emerson#aek athens#transfer#summer#2008#free#uefacupcom
bra#tavares#porto alegre#transfer#summer#2010#free#-
bra#evilasio#porto alegre#transfer#summer#2008#free#-
bra#zé carlos#braga#transfer#summer#2009#free#uefacom
bra#rubens#villa rio#loan#summer#2008#free#-
ser#corović#ael limassol#loan#summer#2008#free#-
alb#haxhi#ergotelis#transfer#winter#2009#free#-
ned#broerse#utrecht#transfer#winter#2009#free#nunl
ser#mirosavljević#smederevo#transfer#winter#2009#free#-
cyp#charalambides#carl zeiss jena#transfer#winter#2010#free#-
