verb#2 (vf)#2 (f)#3 (f)#2 / 3 (p)
bôla#tui bolish#tumi bôlo#she bôle#apni bôlen
বলা#তুই বলিস#তুমি বলো#সে বলে#আপনি বলেন
khola#tui khulish#tumi kholo#she khole#apni kholen
খোলা#তুই খুলিস#তুমি খোলো#সে খোলে#আপনি খোলেন
khêla#tui khelish#tumi khêlo#she khêle#apni khêlen
খেলা#তুই খেলিস#তুমি খেলো#সে খেলে#আপনি খেলেন
chena#tui chinish#tumi cheno#she chene#apni chenen
চেনা#তুই চিনিস#তুমি চেনো#সে চেনে#আপনি চেনেন
jana#tui janish#tumi jano#she jane#apni janen
জানা#তুই জানিস#তুমি জানো#সে জানে#আপনি জানেন
hôoa#tui hosh#tumi hôo#she hôe#apni hôn
হওয়া#তুই হোস#তুমি হও#সে হয়#আপনি হন
dhoa#tui dhush#tumi dhoo#she dhoe#apni dhon
ধোয়া#তুই ধুস#তুমি ধোও#সে ধোয়#আপনি ধোন
khaoa#tui khash#tumi khao#she khae#apni khan
খাওয়া#তুই খাস#তুমি খাও#সে খায়#আপনি খান
deoa#tui dish#tumi dao#she dêe#apni dên
দেওয়া#তুই তারে দিস#তুমি দাও#সে দেয়#আপনি দেন
