position#jersey#name#height (cm)#weight (kg)#birthdate#birthplace#19801981 team
g#31#steve baker#191#91#may 6 , 1957#boston , massachusetts#new york rangers
g#35#tony esposito#180#84#april 23 , 1943#sault ste marie , ontario , canada#chicago blackhawks
d#4#bill baker#185#88#november 29 , 1956#grand rapids , minnesota#colorado rockies
d#3#richie dunn#183#88#may 12 , 1957#boston , massachusetts#buffalo sabres
d#5#mark howe#180#86#may 28 , 1955#detroit , michigan#hartford whalers
d#26#dave langevin#185#98#may 15 , 1954#st paul , minnesota#new york islanders
d#23#rod langway#191#99#may 3 , 1957#taipei , taiwan , republic of china#montreal canadiens
d#28#reed larson#183#88#july 30 , 1956#minneapolis , minnesota#detroit red wings
d#6#ken morrow#193#95#october 17 , 1956#flint , michigan#new york islanders
d#20#mike o'connell#175#84#november 25 , 1955#chicago , illinois#chicago blackhawks
f#8#robbie ftorek#178#70#january 2 , 1952#needham , massachusetts#quebec nordiques
c#7#neal broten#175#70#november , 29 1959#roseau , minnesota#minnesota north stars
c#25#steve christoff#185#82#january 23 , 1958#richfield , minnesota#minnesota north stars
c#18#mike eaves#178#82#june 10 , 1956#denver , colorado#minnesota north stars
c#9#mark johnson#175#73#september 22 , 1957#minneapolis , minnesota#pittsburgh penguins
c#15#rob mcclanahan#178#82#january 9 , 1958#saint paul , minnesota#buffalo sabres
c#14#bob miller#178#80#september 28 , 1956#medford , massachusetts#boston bruins
rw#13#dave christian#180#77#may , 12 1959#warroad , minnesota#winnipeg jets
rw#21#tom gorence#183#86#march 11 , 1957#st paul , minnesota#philadelphia flyers
rw#27#warren miller#180#82#june 15 , 1953#st paul , minnesota#hartford whalers
rw#19#dean talafous#193#82#august 25 , 1953#duluth , minnesota#new york rangers
rw#29#tom younghans#180#80#january 22 , 1953#st paul , minnesota#minnesota north stars
