heat#lane#name#nationality#time
6#7#davide rummolo#italy#2:12.75
4#5#daniel málek#czech republic#2:14.10
7#2#morgan knabe#canada#2:14.18
7#7#maxim podoprigora#austria#2:14.37
5#6#ryan mitchell#australia#2:14.69
7#4#stéphan perrot#france#2:14.79
7#6#regan harrison#australia#2:14.85
5#7#martin gustavsson#sweden#2:15.02
6#2#domenico fioravanti#italy#2:15.04
6#3#terence parkin#south africa#2:15.06
6#1#norbert rózsa#hungary#2:15.27
6#4#yohann bernard#france#2:15.35
5#3#akira hayashi#japan#2:15.54
6#5#kyle salyards#united states#2:15.57
2#2#alexander tkachev#kyrgyzstan#2:15.63
7#5#dmitry komornikov#russia#2:15.70
7#3#kosuke kitajima#japan#2:15.71
4#3#marek krawczyk#poland#2:16.08
4#4#valērijs kalmikovs#latvia#2:16.21
5#4#roman sloudnov#russia#2:16.26
5#5#tom wilkens#united states#2:16.30
5#8#aliaksandr hukau#belarus#2:16.93
5#1#benno kuipers#netherlands#2:17.03
6#6#adam whitehead#great britain#2:17.16
4#8#jakob jóhann sveinsson#iceland#2:17.86
7#8#josé couto#portugal#2:18.08
4#1#andrew bree#ireland#2:18.14
2#6#oleg lisogor#ukraine#2:18.28
3#2#joe kyong - fan#south korea#2:19.16
3#5#li tsung - chueh#chinese taipei#2:19.30
4#7#steven ferguson#new zealand#2:19.31
4#6#tal stricker#israel#2:19.33
3#4#raiko pachel#estonia#2:19.71
2#3#jarno pihlava#finland#2:19.76
3#8#francisco suriano#el salvador#2:20.10
2#5#jeremy knowles#bahamas#2:20.31
1#4#andrés bicocca#argentina#2:20.98
5#2#zhu yi#china#2:21.60
3#6#alvaro fortuny#guatemala#2:21.78
3#1#muhammad akbar nasution#indonesia#2:23.81
4#2#ratapong sirisanont#thailand#2:23.95
3#7#tam chi kin#hong kong#2:24.04
3#3#juan josé madrigal#costa rica#2:24.49
7#1#elvin chia#malaysia#2:26.84
1#3#nguyen ngoc anh#vietnam#2:29.54
2#7#sergey voytsekhovich#uzbekistan#2:30.23
1#5#leonard ngoma#zambia#2:32.90
2#4#vadim tatarov#moldova#dns
6#8#jens kruppa#germany#dns
