name#date of birth#height#weight#spike#block
giovane gávio#07.09.1970#196#89#340#322
andré heller#17.12.1975#199#93#339#321
mauricio lima#27.01.1968#184#79#321#304
gilberto godoy filho#23.12.1976#192#85#325#312
andré nascimento#04.03.1979#195#95#340#320
sérgio dutra santos#15.10.1975#184#78#325#310
anderson rodrigues#21.05.1974#190#95#330#321
nalbert bitencourt#09.03.1974#195#82#329#309
gustavo endres#23.08.1975#203#98#337#325
rodrigo santana#17.04.1979#205#85#350#328
ricardo garcia#19.11.1975#191#89#337#320
dante amaral#30.09.1980#201#86#345#327
