goal#date#score#result#competition
1#5 february 1999#1 - 0#3 - 0#1999 carlsberg cup
2#13 february 2000#1 - 0#4 - 0#2000 concacaf gold cup
3#3 september 2000#5 - 1#7 - 1#2002 world cup qualifier
4#12 may 2002#2 - 1#2 - 1#friendly
5#24 july 2003#1 - 0#2 - 0#2003 concacaf gold cup
6#19 june 2004#3 - 0#3 - 0#2006 world cup qualifier
7#7 september 2005#2 - 0#5 - 0#2006 world cup qualifier
8#24 june 2006#1 - 0#1 - 2 ( aet )#2006 fifa world cup
9#28 march 2007#2 - 2#4 - 2#friendly
10#10 september 2008#2 - 0#2 - 1#2010 world cup qualifier
11#11 june 2010#1 - 1#1 - 1#2010 fifa world cup
12#12 june 2011#1 - 0#4 - 1#2011 concacaf gold cup
13#30 october 2013#1 - 0#4 - 2#friendly
