place#player#country#score#to par
1#george burns#united states#69 + 66 + 68 = 203#- 7
2#david graham#australia#68 + 68 + 70 = 206#- 4
3#bill rogers#united states#70 + 68 + 69 = 207#- 3
t4#jack nicklaus#united states#69 + 68 + 71 = 208#- 2
t4#chi - chi rodríguez#united states#68 + 73 + 67 = 208#- 2
t4#john schroeder#united states#71 + 68 + 69 = 208#- 2
t7#john cook#united states#68 + 70 + 71 = 209#- 1
t7#ben crenshaw#united states#70 + 75 + 64 = 209#- 1
t7#jim thorpe#united states#66 + 73 + 70 = 209#- 1
t7#tommy valentine#united states#69 + 68 + 72 = 209#- 1
