draft#round#pick#player#nationality
1974#1#2#wilf paiement#canada
1974#2#20#glen burdon#canada
1974#3#38#bob bourne#canada
1974#4#56#roger lemelin#canada
1974#5#74#mark lomenda#canada
1974#6#92#john shewchuk#united states
1974#7#110#mike boland#canada
1974#9#145#brian kuruliak#canada
1974#10#162#denis carufel#canada
1974#11#177#soren johansson#sweden
1974#12#191#mats ullander#sweden
1974#13#203#ed pizunski#canada
1974#14#213#willie wing#canada
1975#1#2#barry dean#canada
1975#2#20#don cairns#canada
1975#3#38#neil lyseng#canada
1975#4#56#ron delorme#canada
1975#5#74#terry mcdonald#canada
1975#6#92#eric sanderson#canada
1975#7#110#bill oleschuk#canada
1975#8#128#joe baker#united states
1975#9#145#scott williams#canada
1976#1#11#paul gardner#canada
1976#3#38#mike kitchen#canada
1976#5#74#rick mcintyre#canada
1976#6#92#larry skinner#canada
