rank#mine#county and state#operator#source of copper#capacity (thousands of metric tons)
1#morenci#greenlee county , arizona#freeport - mcmoran#copper ore , leached#390
2#bingham canyon#salt lake county , utah#kennecott utah copper#copper - molybdenum ore , concentrated#300
3#ray#pinal county , arizona#asarco#copper ore , concentrated and leached#170
4#bagdad#yavapai county , arizona#freeport - mcmoran#copper - molybdenum ore , concentrated and leached#100
5#el chino#grant county , new mexico#freeport - mcmoran#copper - molybdenum ore , concentrated and leached#125
6#sierrita#pima county , arizona#freeport - mcmoran#copper - molybdenum ore , concentrated and leached#100
7#tyrone#grant county , new mexico#freeport - mcmoran#copper ore , leached#80
8#continental pit#silver bow county , montana#montana resources llp#copper - molybdenum ore , concentrated#45
9#mission complex#pima county , arizona#asarco#copper ore , concentrated#70
10#silver bell#pima county , arizona#asarco#copper ore , leached#22
11#robinson#white pine county , nevada#quadra fnx mining#copper - molybdenum ore , concentrated#60
12#miami#gila county , arizona#freeport - mcmoran#copper ore , leached#50
13#pinto valley#gila county , arizona#bhp copper#copper ore , leached#5
14#miami#gila county , arizona#bhp copper#copper ore , leached#5
