event#data#athlete#date#place
1500 m#5:46.24#roger mills#29 august 1975#london , united kingdom
mile#5:58.4#alex wright#5 october 2011#leeds , united kingdom
3000 m#11:24.4#mark easton#10 may 1989#tonbridge , united kingdom
5000 m#19:27.39#alex wright#15 july 2013#birmingham , united kingdom
10000 m#40:06.65#ian mccombie#4 june 1989#jarrow , united kingdom
15000 m#1:02:40.0 +#ian mccombie#15 may 1992#fana , norway
20000 m#1:23:26.5#ian mccombie#26 may 1990#fana , norway
25000 m#1:55:00.8 +#ron wallwork#31 july 1971#blackburn , united kingdom
30000 m#2:11:54#chris maddocks#31 december 1989#plymouth , united kingdom
35000 m#2:43:12 +#chris maddocks#22 september 1984#birmingham , united kingdom
40000 m#3:10:48 +#chris maddocks#22 september 1984#birmingham , united kingdom
50000 m#4:05:44.6#paul blagg#26 may 1990#fana , norway
100000 m#9:41:54 +#ed shillabeer#15 september 1985#colchester , united kingdom
hour walk#14324 m +#ian mccombie#7 july 1985#london , united kingdom
2 hours walk#27262 m +#chris maddocks#31 december 1989#plymouth , united kingdom
24 hours walk#214.061 km#hew neilson#15 october 1960#walton - on - thames , united kingdom
