school#location#mascot#county#year joined#year left
barr township#montgomery#vikings#14 daviess#1939#pre - 1958
ellettsville#ellettsville#golden eagles#53 monroe#1939#1964
loogootee#loogootee#lions#51 martin#1939#1970
oolitic#oolitic#bearcats#47 lawrence#1939#1974
plainville#plainville#midgets#14 daviess#1939#pre - 1958
shoals#shoals#jug rox#51 martin#1939 1962#pre - 1958 1979
west baden#west baden#sprudels#59 orange#1939#pre - 1958
central (switz city)#switz city#tigers#28 greene#pre - 1958#1990
needmore#needmore#hilltoppers#47 lawrence#pre - 1958#1974
odon#odon#bulldogs#14 daviess#pre - 1958#1968
shawswick#shawswick#farmers#47 lawrence#pre - 1958#1974
spencer#spencer#cops#60 owen#pre - 1958#1970
worthington#worthington#ramblers#28 greene#pre - 1958#1990
edgewood#ellettsville#mustangs#53 monroe#1964#1970
l & m#marco#braves#28 greene#1968#1990
