name#pos#height#weight#date of birth#club
james stanton#gk#m (ft 6in)#-#1983 - 07 - 21#fremantle mariners
dean semmens#cb#m (ft 2in)#-#1979 - 11 - 22#cn sant andreu
trent franklin#d#m (ft 0in)#-#1979 - 02 - 12#sydney university lions
pietro figlioli#d#m (ft 2in)#-#1984 - 05 - 29#cn barcelona
craig miller#d#m (ft 3in)#-#1971 - 11 - 23#cronulla sharks
toby jenkins#cf#m (ft 4in)#-#1979 - 11 - 26#brisbane barracudas
tim neesham#d#m (ft 0in)#-#1979 - 10 - 20#firenze pallanuoto
sam mcgregor#cb#m (ft 4in)#-#1984 - 08 - 12#cn terassa
thomas whalan#cb#m (ft 4in)#-#1980 - 10 - 13#cn atlã¨tic - barceloneta
gavin woods#cf#m (ft 6in)#-#1978 - 03 - 01#balmain tigers
alex osadchuk#d#m (ft 11in)#-#1972 - 02 - 19#brisbane barracudas
nathan thomas#d#m (ft 4in)#-#1972 - 08 - 28#cn barcelona
rafael sterk#gk#m (ft 1in)#-#1978 - 01 - 27#brisbane barracudas
