position#team#played#drawn#lost#goals for#goals against#goal difference#points 1
1#fleetwood town#34#8#2#73#24#+ 49#56
2#eastwood hanley#34#6#7#69#35#+ 34#48
3#irlam town#34#8#7#67#41#+ 26#46
4#warrington town#34#7#9#65#45#+ 20#43
5#droylsden#34#5#10#59#42#+ 17#43
6#colne dynamoes#34#9#9#55#37#+ 18#41
7#ellesmere port & neston#34#10#12#49#38#+ 11#34
8#chadderton#34#6#14#56#46#+ 10#34
9#atherton laburnum rovers#34#11#12#37#41#4#33
10#wren rovers#34#10#13#45#47#2#33
11#skelmersdale united#34#6#15#60#63#3#32
12#ford motors#34#9#16#38#53#15#27
13#prescot bi#34#9#16#50#66#16#27
14#lytham#34#3#18#56#81#25#27 2
15#rossendale united#34#6#18#53#84#31#26
16#great harwood town#34#12#17#36#60#24#22
17#salford#34#11#18#24#60#36#21
18#nantwich town#34#2#24#44#73#29#18
