game#date#visitor#score#home#record#points
24#december 1#toronto#3 - 8#new jersey#11 - 10 - 3#25
25#december 3#toronto#3 - 4#chicago#11 - 11 - 3#25
26#december 5#chicago#2 - 2#toronto#11 - 11 - 4#26
27#december 6#toronto#0 - 6#ny rangers#11 - 12 - 4#26
28#december 9#detroit#5 - 3#toronto#12 - 12 - 4#28
29#december 11#calgary#3 - 6#toronto#12 - 13 - 4#28
30#december 15#toronto#5 - 6#minnesota#12 - 14 - 4#28
31#december 19#ottawa#5 - 1#toronto#13 - 14 - 4#30
32#december 20#toronto#4 - 5#buffalo#13 - 15 - 4#30
33#december 22#toronto#4 - 4#detroit#13 - 15 - 5#31
34#december 26#detroit#1 - 5#toronto#13 - 16 - 5#31
35#december 27#toronto#6 - 3#st louis#14 - 16 - 5#33
36#december 29#toronto#3 - 2#ny islanders#15 - 16 - 5#35
37#december 31#toronto#3 - 3#pittsburgh#15 - 16 - 6#36
