res#record#opponent#method#event#round#location
loss#24 - 26 - 2#zebaztian kadestam#tko (leg kicks)#pxc - pacific xtreme combat 35#1#pasig , philippines
loss#24 - 25 - 2#dave courchaine#submission (rear - naked choke)#destiny mma - na koa 2#1#hawaii , united states
loss#24 - 24 - 2#a sol kwon#submission (rear - naked choke)#heat 16#2#osaka , japan
win#24 - 23 - 2#yoshitaro niimi#decision (unanimous)#heat 15#3#nagoya , japan
win#23 - 23 - 2#michael winkelspecht#submission (rear - naked choke)#x - 1 vs. destiny mma : showdown in waipahu 3#2#hawaii , united states
loss#22 - 23 - 2#dylan clay#tko (corner stoppage)#x - 1: legends#1#hawaii , united states
loss#22 - 22 - 2#james fanshier#submission (armbar)#kotc : no holds barred#3#california , united states
loss#22 - 21 - 2#jeremiah metcalf#submission (rear - naked choke)#gladiator challenge 63#4#california , united states
loss#22 - 20 - 2#eugene jackson#submission (rear - naked choke)#strikeforce : triple threat#1#california , united states
loss#22 - 19 - 2#akira kikuchi#submission (armlock)#shooto : champion carnival#1#yokohama , japan
loss#22 - 18 - 2#keita nakamura#technical submission (rear - naked choke)#punishment in paradise : east vs. west#1#hawaii , united states
loss#22 - 17 - 2#antonio mckee#decision (split)#extreme wars 3#3#california , united states
loss#22 - 16 - 2#frank trigg#decision (unanimous)#rumble on the rock 8#3#hawaii , united states
loss#22 - 15 - 2#thales leites#tko (doctor stoppage)#rumble on the rock : qualifiers#3#hawaii , united states
loss#22 - 14 - 2#jay hieron#tko (cut)#lockdown in paradise 1#1#hawaii , united states
win#22 - 13 - 2#shigetoshi iwase#decision (unanimous)#punishment in paradise 9#3#hawaii , united states
loss#21 - 13 - 2#jason miller#technical submission (arm - triangle choke)#superbrawl 37#2#hawaii , united states
loss#21 - 12 - 2#chris lytle#submission (guillotine choke)#ufc 49#2#nevada , united states
win#21 - 11 - 2#ryan schultz#tko (corner stoppage)#rumble on the rock 5#2#hawaii , united states
win#20 - 11 - 2#kyle brees#tko#superbrawl 33#3#hawaii , united states
win#19 - 11 - 2#andrew chappelle#decision (unanimous)#ring of honor 3#3#hawaii , united states
win#18 - 11 - 2#sean taylor#tko (corner stoppage)#rumble on the rock 4#2#hawaii , united states
loss#17 - 11 - 2#tiki ghosn#decision (split)#superbrawl 31#3#hawaii , united states
loss#17 - 10 - 2#john alessio#decision (unanimous)#kotc : renegades#5#california , united states
win#17 - 9 - 2#shonie carter#decision (unanimous)#kotc : sin city#5#nevada , united states
win#16 - 9 - 2#james meals#submission (strikes)#kaos fighting championships 2#n / a#hawaii , united states
win#15 - 9 - 2#mike penalber#decision (unanimous)#superbrawl 28#3#hawaii , united states
draw#14 - 9 - 2#dennis hallman#draw#kotc : street fighter#2#california , united states
draw#14 - 9 - 1#shonie carter#draw#superbrawl 27#3#hawaii , united states
loss#14 - 9#stephan potvin#submission (toe hold)#ucc hawaii#3#hawaii , united states
loss#14 - 8#masanori suda#decision (majority)#shooto : treasure hunt 7#3#osaka , japan
loss#14 - 7#izuru takeuchi#decision (majority)#shooto : treasure hunt 1#3#tokyo , japan
win#14 - 6#shannon ritch#tko (punches)#warriors quest 3#1#hawaii , united states
loss#13 - 6#jermaine andre#tko (punches)#world fighting alliance 1#1#nevada , united states
win#13 - 5#pete spratt#ko (knee)#warriors quest 2#3#hawaii , united states
win#12 - 5#joe stevenson#decision (unanimous)#warriors quest 1#3#hawaii , united states
win#11 - 5#dave strasser#submission (armbar)#superbrawl 21#2#hawaii , united states
win#10 - 5#brian sleeman#submission (armbar)#kotc 8 - bombs away#2#california , united states
win#9 - 5#j.t. taylor#tko (knees)#hawaii combat 2#2#hawaii , united states
win#8 - 5#jordon klimp#tko (punches)#ifc : warriors challenge 11#1#california , united states
win#7 - 5#jason von flue#tko (punches)#ifc : warriors challenge 10#1#california , united states
loss#6 - 5#erik paulson#decision (unanimous)#superbrawl 17#3#hawaii , united states
win#6 - 4#kim mason#tko (punches)#superbrawl 16#2#hawaii , united states
loss#5 - 4#yuki sasaki#submission (triangle armbar)#shooto - r.e.a.d. 1#3#tokyo , japan
win#5 - 3#deshon dungey#submission (rear - naked choke)#superbrawl 15#1#hawaii , united states
win#4 - 3#john chrisostomo#tko (cut)#superbrawl 14#1#guam
win#3 - 3#skip mcneil#tko (punches)#superbrawl 14#1#guam
loss#2 - 3#marcos da silva#submission (rear - naked choke)#superbrawl 13#1#hawaii , united states
win#2 - 2#james zikic#decision (majority)#superbrawl 12#3#hawaii , united states
loss#1 - 2#james zikic#submission (rear - naked choke)#superbrawl 11#1#hawaii , united states
win#1 - 1#paul cutts#tko (punches)#superbrawl 11#1#hawaii , united states
loss#0 - 1#eugene jackson#technical submission (forearm choke)#superbrawl 8#1#hawaii , united states
