outcome#date#surface#partner#opponents in the final#score in the final
runner - up#may 17 , 2009#clay#andrei pavel#marcelo melo andré sá#7 - 6 (11 - 9) , 2 - 6 ,
runner - up#july 13 , 2009#clay#victor hănescu#františek čermák michal mertiňák#5 - 7 , 4 - 6
winner#january 16 , 2010#hard#marcus daniell#marcelo melo bruno soares#7 - 5 , 6 - 4
winner#april 10 , 2010#clay#robert lindstedt#rohan bopanna aisam - ul - haq qureshi#6 - 2 , 3 - 6 ,
winner#june 19 , 2010#grass#robert lindstedt#lukáš dlouhý leander paes#1 - 6 , 7 - 5 ,
runner - up#june 21 , 2010#grass#robert lindstedt#jürgen melzer philipp petzschner#1 - 6 , 5 - 7 , 5 - 7
winner#july 18 , 2010#clay#robert lindstedt#andreas seppi simone vagnozzi#6 - 4 , 7 - 5
winner#august 28 , 2010#hard#robert lindstedt#rohan bopanna aisam - ul - haq qureshi#6 - 4 , 7 - 5
runner - up#january 9 , 2011#hard#robert lindstedt#lukáš dlouhý paul hanley#4 - 6 , ret
winner#february 6 , 2011#hard (i)#dick norman#marcel granollers marc lópez#6 - 3 , 6 - 4
winner#february 26 , 2011#clay#victor hănescu#marcelo melo bruno soares#6 - 1 , 6 - 3
winner#april 9 , 2011#clay#robert lindstedt#colin fleming igor zelenay#6 - 2 , 6 - 1
runner - up#june 18 , 2011#grass#robert lindstedt#daniele bracciali františek čermák#3 - 6 , 6 - 2 ,
runner - up#july 2 , 2011#grass#robert lindstedt#bob bryan mike bryan#3 - 6 , 4 - 6 , 6 - 7 (3 - 7)
winner#july 17 , 2011#clay#robert lindstedt#simon aspelin andreas siljeström#6 - 3 , 6 - 3
runner - up#august 7 , 2011#hard#robert lindstedt#michaël llodra nenad zimonjić#7 - 6 (9 - 7) , 6 - 7 (8 - 10) ,
runner - up#october 9 , 2011#hard#robert lindstedt#michaël llodra nenad zimonjić#6 - 7 (2 - 7) , 6 - 7 (4 - 7)
runner - up#february 19 , 2012#hard (i)#robert lindstedt#michaël llodra nenad zimonjić#6 - 4 , 5 - 7 ,
winner#april 28 , 2012#clay#robert lindstedt#jérémy chardy łukasz kubot#7 - 6 (7 - 2) , 6 - 3
runner - up#may 13 , 2012#clay (blue)#robert lindstedt#mariusz fyrstenberg marcin matkowski#3 - 6 , 4 - 6
winner#june 23 , 2012#grass#robert lindstedt#juan sebastián cabal dmitry tursunov#6 - 3 , 7 - 6 (7 - 1)
runner - up#july 8 , 2012#grass#robert lindstedt#jonathan marray frederik nielsen#6 - 4 , 4 - 6 , 6 - 7 (5 - 7) , 7 - 6 (7 - 5) , 3 - 6
winner#july 15 , 2012#clay#robert lindstedt#alexander peya bruno soares#6 - 3 , 7 - 6 (7 - 5)
winner#august 19 , 2012#hard#robert lindstedt#mahesh bhupathi rohan bopanna#6 - 4 , 6 - 4
runner - up#january 12 , 2013#hard#max mirnyi#bob bryan mike bryan#4 - 6 , 4 - 6
runner - up#march 3 , 2013#hard#max mirnyi#james blake jack sock#4 - 6 , 4 - 6
winner#april 28 , 2013#clay#max mirnyi#lukáš dlouhý oliver marach#4 - 6 , 6 - 4 ,
winner#june 22 , 2013#grass#max mirnyi#andre begemann martin emmrich#6 - 3 , 7 - 6 (7 - 4)
winner#october 6 , 2013#hard#max mirnyi#fabio fognini andreas seppi#6 - 4 , 6 - 2
