player#position#date of birth (age)#caps#province / club
curtis wolstenholme#prop#example#4#example
sam walters#prop#example#example#example
aaron salmon#prop#example#example#example
darshan goonetilleke#prop#example#example#example
aaron palmer#lock#19 august#6#drfc
shane kelly#hooker#example#example#example
luke godley#hooker#example#example#example
gavin piek#lock#13 january 1975#6#drfc
mark spencer#lock#example#example#example
trent webb#backrow#example#example#example
wade quinn#backrow#example#example#example
tom featherstone#backrow#12 march 1990#6#drfc
mark hibbs#backrow#14 july#4#drfc
duncan fairley#scrumhlaf#example#example#example
dave burness#scrumhalf#example#example#example
paul beard#flyhalf#4#example#example
liam frost#center (c)#3 may#4#drfc
lilian cance#center#27 september 1984#4#drfc
daniel liddell#center#example#example#example
jaco de jager#wing#example#example#example
mubarak al malik#wing#4#example#example
abdulkareem al muhannadi#wing#example#example#example
jim hamilton#fullback#example#example#example
adam beadon#fullback#3 april 1984#example#drfc
michael elumeze#backrow#example#example#example
jamie frost#backrow#example#2#drfc
