serial no#district#headquartered city#city population (2009)#city area (km 2 )
01#attock district#attock city#94620#20
02#bahawalnagar district#bahawalnagar city#134936#13
03#bahawalpur district#bahawalpur city#530438#38
04#bhakkar district#bhakkar city#89380#15
05#chakwal district#chakwal city#113524#10
06#chiniot district#chiniot city#219254#12
07#dera ghazi khan district#dera ghazi khan city#464742#22
08#faisalabad district#faisalabad city#2793721#147
09#gujranwala district#gujranwala city#1526168#75
10#gujrat district#gujrat city#328512#25
11#hafizabad district#hafizabad city#165936#10
12#jhang district#jhang city#365198#28
13#jhelum district#jhelum city#172073#22
14#kasur district#kasur city#314617#18
15#khanewal district#khanewal city#165038#17
16#khushab district#jauharabad city#38475#12
17#lahore district#lahore city#6936563#462
18#layyah district#layyah city#82734#10
19#lodhran district#lodhran city#93232#08
20#mandi bahauddin district#mandi bahauddin city#150980#09
21#mianwali district#mianwali city#93659#20
22#multan district#multan city#1566932#133
23#muzaffargarh district#muzaffargarh city#158597#15
24#nankana sahib district#nankana sahib city#60137#06
25#narowal district#narowal city#74417#07
26#okara district#okara city#232386#21
27#pakpattan district#pakpattan city#136510#14
28#rahim yar khan district#rahim yar khan city#340810#22
29#rajanpur district#rajanpur city#42986#06
30#rawalpindi district#rawalpindi city#1933933#110
31#sahiwal district#sahiwal city#247706#28
32#sargodha district#sargodha city#586922#50
33#sheikhupura district#sheikhupura city#411834#22
34#sialkot district#sialkot city#502721#42
35#toba tek singh district#toba tek singh city#74480#09
36#vehari district#vehari city#124513#12
