manufacturer#model#quantity#introduced#retired
douglas#c - 54 skymaster#6#1947#1966
douglas#c - 47 dakota#2#1947#1964
de havilland#dh114 heron#7#1952#1960
fokker#f - 27 friendship#8#1958#1977
douglas#dc - 6a / c#1#1961#1965
douglas#dc - 6b#7#1962#1973
fokker#f - 28 fellowship#6#1969#1986
boeing#737 - 200#20#1969#1994
boeing#767 - 200#2#1984#1986
boeing#737 - 400#7#1989#2004
boeing#737 - 500#17#1990#2004
fokker#100#5#1997#1999
boeing#737 - 300#1#1997#1999
boeing#737 - 700#13#1998#2004
british aerospace#146200#10#1998#2001
