driver#constructor#laps#time / retired#grid
john surtees#honda#68#1:43:45.0#9
jack brabham#brabham - repco#68#+ 0.2#2
jim clark#lotus - ford#68#+ 23.1#1
jochen rindt#cooper - maserati#68#+ 56.6#11
mike spence#brm#67#+ 1 lap#12
jacky ickx#cooper - maserati#66#+ 2 laps#15
chris amon#ferrari#64#+ 4 laps#4
graham hill#lotus - ford#58#engine#8
jo siffert#cooper - maserati#50#accident#13
giancarlo baghetti#lotus - ford#50#engine#17
bruce mclaren#mclaren - brm#46#engine#3
jo bonnier#cooper - maserati#46#overheating#14
jackie stewart#brm#45#engine#7
denny hulme#brabham - repco#30#overheating#6
guy ligier#brabham - repco#26#engine#18
chris irwin#brm#16#injection#16
ludovico scarfiotti#eagle - weslake#5#engine#10
dan gurney#eagle - weslake#4#engine#5
