season#team#country#league#level#apps#goals
2002#kaisar#kazakhstan#premier league#1#2#0
2003#kaisar#kazakhstan#premier league#1#28#2
2004#kaisar#kazakhstan#premier league#1#25#0
2005#irtysh#kazakhstan#premier league#1#19#0
2006#kaisar#kazakhstan#premier league#1#26#5
2007#kaisar#kazakhstan#premier league#1#28#2
2008#kaisar#kazakhstan#premier league#1#20#10
2009#lokomotiv astana#kazakhstan#premier league#1#19#0
2010#aktobe#kazakhstan#premier league#1#0 3#0
2010#zhetysu#kazakhstan#premier league#1#13#1
2011#fc shakhter karagandy#kazakhstan#premier league#1#27#2
