player#field goals#three pointers#free throws#assists#steals#rebounds#points
lacey#163 - 369 442#53 - 142 373#94 - 107 879#187#39#148 - 4.9#473 - 15.8
bolte#136 - 348 391#84 - 205 410#37 - 42 881#48#38#144 - 4.5#393 - 12.3
prins#99 - 223 444#27 - 67 403#42 - 54 778#14#3#113 - 4.2#167 - 9.9
poppens#111 - 227 489#0 - 1 000#69 - 110 627#22#19#238 - 7.2#291 - 8.8
williams#63 - 157 401#48 - 120 400#20 - 23 870#52#17#34 - 1.0#194 - 5.9
zimmerman#58 - 113 513#15 - 36 417#25 - 37 676#18#2#72 - 2.3#156 - 5.0
stuckey#47 - 127 370#15 - 46 326#34 - 54 630#68#41#200 - 6.1#143 - 4.3
schroll#42 - 93 452#2 - 12 167#43 - 61 705#17#7#110 - 3.3#129 - 3.9
cole#18 - 50 360#11 - 33 333#15 - 27 556#33#8#46 - 1.5#62 - 2.0
mosman#6 - 19 316#4 - 17 235#5 - 8 625#7#2#14 - 0.9#21 - 1.3
florzak#3 - 9 333#2 - 8 250#8 - 8 1.000#0#3#7 - 0.5#16 - 1.1
lightbourne#5 - 18 278#0 - 0 000#2 - 3 667#3#1#17 - 1.1#12 - 0.8
