round / race#circuit#date#pole position#fastest lap#winning driver#winning team
1 / 1#eastern creek raceway#4 february#stuart kostera#chris alajajian#stuart kostera#team brm
1 / 2#eastern creek raceway#4 february#charles hollings#chris alajajian#tim macrow#scud racing
2 / 1#oran park raceway#22 april#charles hollings#charles hollings#charles hollings#astuti motorsport
2 / 2#oran park raceway#22 april#charles hollings#marco mapelli#charles hollings#astuti motorsport
3 / 1#phillip island#6 may#james winslow#mat sofi#james winslow#piccola scuderia course
3 / 2#phillip island#6 may#james winslow#leanne tander#leanne tander#tandersport
4 / 1#mallala motor sport park#1 july#michael trimble#marco mapelli#james winslow#piccola scuderia course
4 / 2#mallala motor sport park#1 july#michael trimble#michael trimble#tim macrow#scud racing
5 / 1#eastern creek raceway#15 july#tim macrow#marco mapelli#charles hollings#astuti motorsport
5 / 2#eastern creek raceway#15 july#leanne tander#marco mapelli#marco mapelli#team brm
6 / 1#phillip island#12 august#james winslow#mat sofi#tim macrow#scud racing
6 / 2#phillip island#12 august#cancelled due to rain#leanne tander#leanne tander#tandersport
7 / 1#symmons plains raceway#2 september#leanne tander#james winslow#james winslow#astuti motorsport
7 / 2#tasmanian super prix#2 september#charles hollings#mat sofi#barton mawer#team brm
8 / 1#oran park raceway#4 november#leanne tander#leanne tander#charles hollings#astuti motorsport
8 / 2#oran park raceway#4 november#leanne tander#tim macrow#tim macrow#scud racing
