season#mens singles#womens singles#mens doubles#womens doubles#mixed doubles
1994 / 95#damien eloi#bettine vrieskoop#damien eloi christophe legout#ã…sa svensson marie svensson#n / a
1991 / 92#jean - philippe gatien#mirjam hooman#mikael applegren jan - ove waldner#irina palina elena timina#jean - philippe gatien zxiao ming wang
1989 / 90#yu shenlong#mika hoshino#wei quingguang chen longcan#kim youn sook lee jung ae#jean - philippe gatien zxiao ming wang
1987 / 88#jorgen persson#li huifen#andrzej grubba leszek kucharski#daniela guergueltcheva valentina popova#wei qingguang li huifen
1985 / 86#zoran kalinic#ellen kovtun#zoran kalinic masahiro maehara#alison gordon joy grundy#desmond douglas alison gordon
1983 / 84#desmond douglas#anita zakharjan#jonny akesson jorgen persson#patricia germain brigitte thiriet#seiji ono yoshiko shimauchi
1981 / 82#teng yi#chen lili#teng yi fan changmao#dai lili chen jieling#chen xinhua chen lili
1979 / 80#desmond douglas#jill hammersley#andrzej grubba leszek kucharski#blanka silhanova ilona vostova#erik lindh marie lindblad
1978 / 79#kou yan hua#jill hammersley#kuo yao hua ke liang#judit magos gabriela szabo#desmond douglas linda howard
1977 / 78#li chen shih#chu hsiang yun#li chen shih wang hui yun#chu hsiang yun wei li chieh#desmond douglas linda howard
1976 / 77#stanislav gomozkov#carole knight#stanislav gomozkov anatoli strokatov#jill hammersley linda howard#bagrat burnazian tatiana ferdman
1975 / 76#stellan bengtsson#jill hammersley#desmond douglas denis neale#blanka silhanova ilona vostova#stellan bengtsson ann hellman
1974 / 75#anatoly strokatov#elmira antonian#stanislav gomozkov anatoli strokatov#yen kui li yu ching chia#li ching - kwang yen kui - li
1973 / 74#kjell johansson#maria alexandru#stellan bengtsson kjell johansson#maria alexandru alicia grofova#bo persson brigitta radberg
1972 / 73#stellan bengtsson#brigitta radberg#stellan bengtsson kjell johansson#miloslava polackova ilona vostova#milan orlowski ilona vostova
1971 / 72#stellan bengtsson#maria alexandru#antun stipancic dragutin surbek#maria alexandru eleanora vlaicov#milan orlowski ilona vostova
1970 / 71#tibor klampar#maria alexandru#stellan bengtsson bo persson#maria alexandru e mihalca#antun stipancic maria alexandru
1969 / 70#stefan kollarovits#maria alexandru#istvan jonyer tibor klampar#karenza matthews mary wright#denis neale mary wright
1968 / 69#stanoslav gomozkov#zoya rudnova#antoliy amelin stanislav gomozkov#svetlana greinberg zoya rudnova#eberhardiane scholer diane scholer
1967 / 68#stanoslav gomozkov#e mihalca#istvan korpa dragutin surbek#svetlana greinberg zoya rudnova#stanislav gomozkov zoya rudnova
1966 / 67#jaroslav stanek#mary wright#vladimir miko jaroslav stanek#maria alexandru e mihalca#vladimir miko marta luzova
1964 / 65#eberhard scholer#marta luzova#vladimir miko jaroslav stanek#diane rowe mary shannon#vladimir miko marta luzova
1963 / 64#dorin giurgica#maria alexandru#janos fahazi peter rozsas#diane rowe mary shannon#p roszas sarolte lukas
1962 / 63#zoltan berczik#maria alexandru#ivan andreadis villim harrangozo#diane rowe mary shannon#janos fahazi eva foldi
1961 / 62#zoltan berczik#diane rowe#ivan andreadis vladimir miko#diane rowe mary shannon#zolton berczik sarolte lukas
1960 / 61#victor markovic#eva foldi#hans alser tony larsson#kathy best agnes simon#zolton berczik eva foldi
1959 / 60#ian harrison#agnes simon#johnny leach michael thornhill#kathy best diane rowe#ian harrison diane rowe
1958 / 59#ichiro ogimura#fujie eguchi#teruo murakami ichiro ogimura#fujie eguchi kimyo matsuzaki#teruo murakami kimyo matsuzaki
1957 / 58#ferenc sido#agnes simon#zolton berczik frederic sido#ann haydon pamela mortimer#frederic sido eva koczian
1956 / 57#zolton berczik#fujie eguchi#ichiro ogimura toshiaki tanaka#taeko namba tomie okawa#keisuke tsunoda taeko namba
1955 / 56#elemer gyetvai#gizi farkas#elemer gyetvai kalman szepesi#ann haydon diane rowe#johnny leach diane rowe
1954 / 55#zarko dolinar#rosalind rowe#ivan andreadis ladislav stipek#diane rowe rosalind rowe#aubrey simmons helen elliott
1953 / 54#richard bergmann#linda wertl#brian kennedy aubrey simmons#diane rowe rosalind rowe#johnny leach diane rowe
1952 / 53#michel haguenauer#rosalind rowe#richard bergmann johnny leach#diane rowe rosalind rowe#viktor barna rosalind rowe
1951 / 52#richard bergmann#linda wertl#zarko dolinar villim harrangozo#diane rowe rosalind rowe#johnny leach diane rowe
1950 / 51#alojzy ehrlich#gertrude pritzi#jack carrington johnny leach#diane rowe rosalind rowe#viktor barna helen elliott
1949 / 50#richard bergmann#mildred shahian#zarko dolinar villim harrangozo#diane rowe rosalind rowe#johnny leach peggy franks
1948 / 49#marty reisman#peggy mclean#viktor barna richard bergmann#peggy mclean leah thall#richard miles leah thall
1947 / 48#richard bergmann#gizi farkas#richard bergmann tage flisberg#lilian barnes g farkas#frederic sido gizi farkas
1945 / 46#bohumil vana#dora beregi#adolf slar bohumil vana#dora beregi vera dace#eric filby dora beregi
1939 / 40#richard bergmann#vera dace#richard bergmann alfred liebster#dora beregi jean nicoll#viktor barna dora beregi
1938 / 39#richard bergmann#jean nicoll#viktor barna laszlo bellak#vlasta depretisova v votrucova#bohumil vana vera votrubcova
1937 / 38#viktor barna#dora beregi#viktor barna laszlo bellak#margaret osborne wendy woodhead#viktor barna margaret osborne
1936 / 37#viktor barna#ruth aarons#abe berenbaum sol schiff#margaret osborne wendy woodhead#robert blattner ruth aarons
1935 / 36#alojzy ehrlich#marie kettnerova#laszlo bellak miklos szabados#dora emdin astrid krebsbach#viktor barna margaret osborne
1934 / 35#viktor barna#margaret osborne#viktor barna tommy sears#margaret osborne wendy woodhead#viktor barna margaret osborne
1933 / 34#viktor barna#margaret osborne#viktor barna tommy sears#dora emdin phyllis moser#viktor barna dora emdin
1932 / 33#viktor barna#dora emdin#viktor barna sandor glancz#n wood wendy woodhead#viktor barna dora emdin
