heat#lane#name#nationality#time
6#4#ryan lochte#united states#1:56.29
5#4#aaron peirsol#united states#1:56.35
4#4#markus rogan#austria#1:56.64
5#5#arkady vyatchanin#russia#1:56.97
6#5#gregor tait#great britain#1:57.03
4#5#hayden stoeckel#australia#1:57.15
5#3#ryosuke irie#japan#1:57.68
6#7#gordan kožulj#croatia#1:57.81
6#3#ashley delaney#australia#1:57.87
4#3#răzvan florea#romania#1:57.97
5#6#helge meeuw#germany#1:58.42
4#2#damiano lestingi#italy#1:58.53
3#7#george du rand#south africa#1:58.62
6#6#stanislav donets#russia#1:58.68
6#8#keith beavers#canada#1:58.84
3#4#tobias oriwol#canada#1:58.94
5#2#pierre roger#france#1:59.01
3#1#omar pinzón#colombia#1:59.11
4#1#sebastian stoss#austria#1:59.44
6#1#roland rudolf#hungary#1:59.44
4#6#takashi nakano#japan#1:59.59
3#6#derya büyükuncu#turkey#1:59.86
5#8#lucas salatta#brazil#1:59.91
5#1#nick driebergen#netherlands#2:00.24
5#7#mattia aversa#italy#2:00.25
3#8#kim ji - heun#south korea#2:00.72
2#5#itai chammah#israel#2:00.93
3#2#pedro oliveira#portugal#2:01.08
1#4#brett fraser#cayman islands#2:01.17
2#1#pedro medel#cuba#2:01.32
4#7#gabor balog#hungary#2:01.42
3#3#jonathan massacand#switzerland#2:01.80
1#5#oleg rabota#kazakhstan#2:01.95
4#8#simon dufour#france#2:02.00
3#5#dimitrios chasiotis#greece#2:02.30
2#2#květoslav svoboda#czech republic#2:03.12
2#4#deng jian#china#2:03.34
1#3#sergey pankov#uzbekistan#2:03.51
2#6#oleksandr isakov#ukraine#2:03.59
2#3#andres olvik#estonia#2:03.66
2#7#simon sjödin#sweden#dns
6#2#aschwin wildeboer faber#spain#dns
