ngc number#object type#constellation#right ascension ( j2000 )#declination ( j2000 )
2014#association of stars#dorado#05h32 m24s#°41′
2020#diffuse nebula#dorado#05h33 m12s#°43′
2021#association of stars#dorado#05h33 m30s#°27′
2022#planetary nebula#orion#05h42 m06.2s#°05′11″
2023#diffuse nebula#orion#05h41 m37.9s#°15′52″
2024#emission nebula#orion#05h41 m43s#°51′
2025#open cluster#mensa#05h32 m33s#°43′
2043#open cluster#mensa#05h35 m56.7s#°04′23″
2068#diffuse nebula#orion#05h46 m46.7s#°00′50″
2070#open cluster#dorado#05h38 m42s#°06′
2080#open cluster#dorado#05h39 m44s#°39′
2090#spiral galaxy#columba#05h47 m02.3s#°15′05″
2099#open cluster#auriga#05h52 m19s#°33′
2100#open cluster#dorado#05h42 m09s#°12′43″
