res#record#opponent#method#event#round#time#location
win#7 - 7#yong - hwan jung#submission (armbar)#revolution 1 - the return of legend#1#0:46#jeongseon county , south korea
win#6 - 7#ryo takigawa#submission (punches)#k - 1 korea max 2013#1#1:25#seoul , south korea
win#5 - 7#tarec saffiedine#decision (split)#dream 12#3#5:00#osaka , japan
loss#4 - 7#jesse taylor#tko (ankle injury)#dream 10#1#1:02#saitama , japan
loss#4 - 6#andrews nakahara#tko (punches)#dream 6#2#0:30#saitama , japan
loss#4 - 5#gegard mousasi#decision (unanimous)#dream 4#2#5:00#yokohama , japan
win#4 - 4#shungo oyama#decision (unanimous)#dream 2#2#5:00#saitama , japan
win#3 - 4#fabio silva#submission (armbar)#hero 's 2007 in korea#1#6:12#seoul , south korea
win#2 - 4#zelg galešić#submission (armbar)#hero 's 10#1#1:29#yokohama , japan
win#1 - 4#melvin manhoef#submission (armbar)#k - 1 dynamite!! usa hero 's#2#1:17#california , usa
loss#0 - 4#murilo bustamante#decision (unanimous)#pride bushido 13#2#5:00#yokohama , japan
loss#0 - 3#quinton jackson#decision (unanimous)#pride 31 - dreamers#3#5:00#saitama , japan
loss#0 - 2#makoto takimoto#decision (unanimous)#pride 30 - fully loaded#3#5:00#saitama , japan
loss#0 - 1#kazushi sakuraba#ko (punches)#pride total elimination 2005#1#0:38#osaka , japan
