res#record#opponent#method#event#round#location
loss#15 - 10 (2)#vladimir matyushenko#decision (unanimous)#bellator 99#3#temecula , california , united states
win#15 - 9 (2)#chuck grigsby#ko (punch)#victory fighting championship 40#4#ralston , nebraska , united states
win#14 - 9 (2)#dennis reed#tko (punches)#victory fighting championship 39#1#ralston , nebraska , united states
loss#13 - 9 (2)#jan błachowicz#decision (unanimous)#ksw xx#3#gdańsk , poland
loss#13 - 8 (2)#gilbert yvel#ko (punch)#rfa 2: yvel vs alexander#1#kearney , nebraska , united states
loss#13 - 7 (2)#steve bossé#ko (elbow)#instinct mma 1#2#montreal , quebec , canada
win#13 - 6 (2)#razak al - hassan#tko (doctor stoppage)#mma fight pit : genesis#2#albuquerque , new mexico , united states
win#12 - 6 (2)#brian albin#tko (doctor stoppage)#caged in the coliseum : albin vs alexander#3#jackson , mississippi , united states
win#11 - 6 (2)#rameau thierry sokoudjou#tko (punches)#shark fights 13#2#amarillo , texas , united states
win#10 - 6 (2)#david griffin#decision (unanimous)#ufa 1: the clash at the coliseum#3#charleston , south carolina , united states
nc#9 - 6 (2)#justin grizzard#nc (eye poke)#extreme challenge : the aftermath#2#council bluffs , iowa , united states
loss#9 - 6 (1)#joey beltran#tko (punches)#5150 combat league / xfl : new year 's revolution#2#tulsa , oklahoma , united states
loss#9 - 5 (1)#kimbo slice#decision (unanimous)#the ultimate fighter : heavyweights finale#3#las vegas , nevada , united states
win#9 - 4 (1)#sherman pendergarst#tko (leg kicks and punches)#adrenaline mma iv : sylvia vs riley#1#council bluffs , iowa , united states
loss#8 - 4 (1)#eric schafer#submission (arm - triangle choke)#ufc fight night : diaz vs neer#1#omaha , nebraska , united states
loss#8 - 3 (1)#james irvin#ko (punches)#ufc fight night 13#1#broomfield , colorado , united states
loss#8 - 2 (1)#thiago silva#tko (punches)#ufc 78#1#newark , new jersey , united states
win#8 - 1 (1)#alessio sakara#tko (knee and punches)#ufc 75#1#london , england , united kingdom
win#7 - 1 (1)#keith jardine#ko (punches and knees)#ufc 71#1#las vegas , nevada , united states
nc#6 - 1 (1)#todd allee#nc (illegal knees)#extreme challenge 76#1#sloan , iowa , united states
win#6 - 1#jon murphy#tko (punches)#extreme challenge 76#1#sloan , iowa , united states
win#5 - 1#demian decorah#decision (unanimous)#downtown destruction 1#5#des moines , iowa , united states
win#4 - 1#brandon quigley#tko (punches)#judgment night 2#1#des moines , iowa , united states
win#3 - 1#justin butler#ko (punches)#gladiators 20#1#des moines , iowa , united states
win#2 - 1#chuck purdow#submission (punches)#gladiators 17#1#hastings , nebraska , united states
win#1 - 1#jamie webb#submission (punches)#gladiators 16#1#des moines , iowa , united states
loss#0 - 1#jason medina#submission (arm triangle choke)#extreme challenge 40#2#springfield , illinois , united states
