name#took office#left office#party#district residence
district created march 4 , 1875#district created march 4 , 1875#district created march 4 , 1875#district created march 4 , 1875#district created march 4 , 1875
john hancock#march 4 , 1875#march 3 , 1877#democrat#austin
dewitt clinton giddings#march 4 , 1877#march 3 , 1879#democrat#brenham
george washington jones#march 4 , 1879#march 3 , 1883#greenback#bastrop
james w throckmorton#march 4 , 1883#march 3 , 1887#democrat#mckinney
silas hare#march 4 , 1887#march 3 , 1891#democrat#sherman
joseph w bailey#march 4 , 1891#march 3 , 1901#democrat#gainesville
choice b randell#march 4 , 1901#march 3 , 1903#democrat#sherman
james andrew beall#march 4 , 1903#march 3 , 1915#democrat#waxahachie
hatton w sumners#march 4 , 1915#january 3 , 1947#democrat#dallas
joseph franklin wilson#january 3 , 1947#january 3 , 1955#democrat#dallas
bruce reynolds alger#january 3 , 1955#january 3 , 1965#republican#dallas
earle cabell#january 3 , 1965#january 3 , 1973#democrat#dallas
alan steelman#january 3 , 1973#january 3 , 1977#republican#dallas
jim mattox#january 3 , 1977#january 3 , 1983#democrat#dallas
john w bryant#january 3 , 1983#january 3 , 1997#democrat#dallas
pete sessions#january 3 , 1997#january 3 , 2003#republican#dallas
jeb hensarling#january 3 , 2003#present#republican#dallas
