date#cover model#centerfold model#interview subject#20 questions
1 - 04#none#colleen shannon#jack nicholson#al franken
2 - 04#jaime pressly#aliya wolf#kiefer sutherland#dave matthews
3 - 04#rena mero , torrie wilson (two alternative covers)#sandra hubby#jim carrey#william petersen
4 - 04#rachel hunter#krista kelly#50 cent#kevin smith
5 - 04#pamela anderson#nicole whitehead#johnny depp#matthew perry
6 - 04#charisma carpenter#hiromi oshima#derek jeter#jude law
7 - 04#peta wilson#stephanie glasson#michael moore#christina applegate
8 - 04#eva herzigova#pilar lastra#matt damon#spike lee
9 - 04#amy acuff#scarlett keegan#sergey brin & larry page#terrel owens
10 - 04#evelyn gery#kimberly holland#donald trump#jimmy fallon
11 - 04#brooke burke#cara zavaleta#oliver stone#john carmack
12 - 04#denise richards#tiffany fallon#bernie mac#dustin hoffman
