club#played#drawn#lost#points for#points against#tries for#tries against#try bonus
club#played#drawn#lost#points for#points against#tries for#tries against#try bonus
bryncoch rfc#22#0#1#743#403#106#58#13
ystalyfera rfc#22#0#7#563#379#67#47#5
taibach rfc#22#1#7#514#340#75#42#8
glyncorrwg rfc#22#1#8#468#311#61#38#5
resolven rfc#22#0#10#460#439#61#62#7
pontycymmer rfc#22#0#12#384#405#52#49#5
aberavon green stars rfc#22#0#12#342#598#49#85#5
ystradgynlais rfc#22#0#13#366#451#44#59#4
porthcawl rfc#22#1#14#490#517#64#72#6
vardre rfc#22#1#13#343#381#44#46#1
neath athletic rfc#22#0#15#352#521#48#75#5
birchgrove rfc#22#0#18#286#566#38#76#1
