rank#nation#gold#silver#bronze#total
1#great britain (gbr)#17#3#0#20
2#united states (usa)#5#4#4#13
3#australia (aus)#3#5#7#15
4#germany (ger)#3#6#4#13
5#spain (esp)#3#5#3#11
6#czech republic (cze)#2#2#4#8
7#italy (ita)#2#1#3#6
8#switzerland (sui)#2#0#0#2
9#japan (jpn)#1#3#2#6
10#france (fra)#1#1#2#4
11#south africa (rsa)#1#1#1#3
12#austria (aut)#1#1#0#2
12#belarus (blr)#1#1#0#2
14#new zealand (nzl)#1#0#3#4
15#poland (pol)#1#0#1#2
16#china (chn)#0#3#4#7
17#netherlands (ned)#0#3#0#3
18#south korea (kor)#0#1#1#2
19#finland (fin)#0#1#0#1
19#romania (rou)#0#1#0#1
19#slovakia (svk)#0#1#0#1
22#canada (can)#0#0#2#2
22#lebanon (lib)#0#0#2#2
23#belgium (bel)#0#0#1#1
total#total#44#44#44#132
