locale#skip#w#l#pf#pa#ends won#ends lost#blank ends#stolen ends#shot %
china#wang bingyu#9#2#92#67#57#43#6#18#80%
canada#jennifer jones#9#2#88#62#46#43#13#9#84%
switzerland#mirjam ott#9#2#90#64#51#46#7#11#81%
japan#moe meguro#7#4#75#66#49#45#17#13#77%
denmark#angelina jensen#7#4#73#68#44#51#16#7#79%
sweden#stina viktorsson#6#5#68#72#45#51#10#7#80%
united states#debbie mccormick#6#5#71#74#51#52#6#13#78%
russia#ludmila privivkova#4#7#67#74#45#48#11#12#78%
germany#andrea schãpp#4#7#63#70#49#45#17#14#77%
scotland#gail munro#3#8#59#77#43#48#17#8#77%
italy#diana gaspari#2#9#60#77#45#47#14#10#74%
