round#pick#overall#name#position#college
1#25#25#bobby butler#cornerback#florida state
2#26#54#lyman white#linebacker#lsu
3#24#80#scott woerner#defensive back#georgia
4#26#109#john scully#guard#notre dame
5#25#136#eric sanders#offensive tackle#nevada
6#26#164#harry standback#defensive tackle#north carolina
8#26#219#cliff toney#defensive back#auburn
9#24#245#calvin fance#running back#rice
10#26#274#robert murphy#defensive back#ohio state
11#25#301#keith chappelle#wide receiver#iowa
12#26#330#mark mccants#defensive back#temple
