character#french voice actor#italian voice actor#german voice actor#spanish voice actor
daxter#xavier fagnon#daniele demma#erik borner#blanca rada
jak#damien boisseau#claudio moneta#andreas gröber#ricardo escobar
samos the sage#marc alfos#giovanni battezzato#michael lucke#aparicio rivero
keira#sophie arthuys#stephania patruno#sylvia steiner#mercedes cepeda
gt blitz / mizo#antoine tomé#diego sabre#gilles karolyi#jorge teixeira
sig#pascal renwick#diego sabre#peter wenke#david garcía
razer#mathias kozlowski#luca sandri#sebastian walch#alejandro garcía
ashelin#vanina pradier#stephania patruno#susanne grawe#mercedes cepeda
pecker#pascal renwick#oliviero corbetta#peter wenke#jorge texeira
torn#thierry mercier#oliviero corbetta#michael betz#roberto encinas
kleiver#martial le minoux#tony fuochi#achim barrenstein#salvador aldeguer
rayn#véronique desmadryl#emanuela damasio#rita rhingeanu#conchi lópez
krew#alain dorval#stefano albertini#mario hassert#salvador serrano
ratchet#marc saez#simone d'andrea#dirk fenselau#javier romano
osmo#dennis boileau#massimo rovatti#michael deckner#rafael torres
kaeden#stéfan godin#andrea denisco#karl - jürgen sihler#antonio fernández
taryn#emmanuelle bondeville#angiolina gobbi#petra buschkämper#mayte torres
ximon#marc saez#massimo di benedetto#linus kraus#jesús pinillos
