position#club#games played#wins#draws#loses#goals scored#goals conceded#points
1#polonija vilnius#30#27#0#3#97#16#81
2#sūduva marijampolė#30#22#1#7#93#42#67
3#kauno jėgeriai#30#19#5#6#83#30#62
4#tauras tauragė#30#17#7#6#57#39#58
5#lietava jonava#30#16#4#10#70#40#52
6#žalgiris - 2 vilnius#30#11#7#12#37#35#40
7#interas visaginas#30#11#6#13#29#38#39
8#vienybė ukmergė#30#11#5#14#54#67#38
9#kareda kaunas#30#10#5#15#35#49#35
10#babrungas plungė#30#9#7#14#34#60#34
11#nevėžis - 2 kėdainiai#30#11#1#18#45#62#34
12#laisvė šilutė#30#10#4#16#44#59#34
13#krazantė kelmė#30#11#1#18#38#81#34
14#banga gargždai#30#9#3#17#45#50#33
15#utenis utena#30#7#4#19#30#69#25
16#kratonas kalvarija#30#7#2#21#51#105#23
