game#date#opponent#result#dolphins points#opponents#record#attendance
1#sept 3#new york jets#loss#20#33#0 - 1#49598
2#sept 10#baltimore colts#win#42#0#1 - 1#47730
3#sept 17#buffalo bills#win#31#24#2 - 1#48373
4#sept 24#philadelphia eagles#loss#3#17#2 - 2#62998
5#oct 1#st louis cardinals#win#24#10#3 - 2#43882
6#oct 9#cincinnati bengals#win#21#0#4 - 2#54729
7#oct 15#san diego chargers#win#28#21#5 - 2#50637
8#oct 22#new england patriots#loss#24#33#5 - 3#60424
9#oct 29#baltimore colts#win#26#8#6 - 3#53524
10#nov 5#dallas cowboys#win#23#16#7 - 3#69414
11#nov 12#buffalo bills#win#25#24#8 - 3#48623
12#nov 20#houston oilers#loss#30#35#8 - 4#50290
13#nov 26#new york jets#loss#24#13#8 - 5#49255
14#dec 3#washington redskins#win#16#0#9 - 5#52860
15#dec 10#oakland raiders#win#23#6#10 - 5#73003
16#dec 18#new england patriots#win#23#3#11 - 5#72071
