no in season#no disc#title#directed by#written by#original air date
1#1#redemption#martin wood#robert c cooper#june 7 , 2002 ( sci fi channel )
2#1#redemption (part 2)#martin wood#robert c cooper#june 14 , 2002 (sci fi channel)
3#1#descent#peter deluise#joseph mallozzi & paul mullie#june 21 , 2002 (sci fi channel)
4#1#frozen#martin wood#robert c cooper#june 28 , 2002 (sci fi channel)
5#2#nightwalkers#peter deluise#joseph mallozzi & paul mullie#july 12 , 2002 (sci fi channel)
6#2#abyss#martin wood#brad wright#july 19 , 2002 (sci fi channel)
7#2#shadow play#peter deluise#joseph mallozzi & paul mullie#july 26 , 2002 (sci fi channel)
8#2#the other guys#martin wood#damian kindler#august 2 , 2002 (sci fi channel)
9#3#allegiance#peter deluise#peter deluise#august 9 , 2002 (sci fi channel)
10#3#cure#andy mikita#damian kindler#august 16 , 2002 (sci fi channel)
11#3#prometheus (1)#peter f woeste#joseph mallozzi & paul mullie#august 23 , 2002 (sci fi channel)
13#4#sight unseen#peter f woeste#ron wilkerson#december 11 , 2002 (sky one)
14#4#smoke & mirrors#peter deluise#katharyn powers#december 18 , 2002 (sky one)
15#4#paradise lost#william gereghty#robert c cooper#january 8 , 2003 (sky one)
16#4#metamorphosis#peter deluise#jacqueline samuda & james tichenor#january 15 , 2003 (sky one)
17#4#disclosure#william gereghty#joseph mallozzi & paul mullie#january 22 , 2003 (sky one)
18#5#forsaken#andy mikita#damian kindler#january 29 , 2003 (sky one)
20#5#memento#peter deluise#damian kindler#february 12 , 2003 (sky one)
21#5#prophecy#will waring#joseph mallozzi & paul mullie#february 19 , 2003 (sky one)
