series#season#title#director#writer (s)#airdate
490#1#the devil 's outpost#philip leacock#bob bash#september 22 , 1969
491#2#stryker#robert totten#herman groves#september 29 , 1969
492#3#coreyville#bernard mceveety#herman groves#october 6 , 1969
493#4#danny#bernard mceveety#preston wood#october 13 , 1969
495#6#a man called smith#vincent mceveety#calvin clements , sr#october 27 , 1969
496#7#charlie noon#vincent mceveety#jim byrnes#november 3 , 1969
497#8#the still#gunnar hellstrom#calvin clements , sr#november 10 , 1969
498#9#a matter of honor#robert totten#joy dexter#november 17 , 1969
499#10#the innocent#marvin j chomsky#walter black#november 24 , 1969
500#11#ring of darkness#bernard mceveety#arthur dales#december 1 , 1969
502#13#roots of fear#philip leacock#arthur browne , jr#december 15 , 1969
503#14#the sisters#philip leacock#william kelley#december 29 , 1969
504#15#the war priest#vincent mceveety#william kelley#january 5 , 1970
506#17#the judas gun#vincent mceveety#harry kronman#january 19 , 1970
507#18#doctor herman schultz , m d#bernard mceveety#benny rubin#january 26 , 1970
508#19#the badge#vincent mceveety#jim byrnes#february 2 , 1970
509#20#albert#vincent mceveety#jim byrnes#february 9 , 1970
510#21#kiowa#bernard mceveety#ron bishop#february 16 , 1970
511#22#celia#philip leacock#harry kronman#february 23 , 1970
513#24#the thieves#philip leacock#thomas tompson#march 9 , 1970
514#25#hackett#vincent mceveety#william kelley#march 16 , 1970
