district#vacator#reason for change#successor#date successor seated
missouri 6th#vacant#rep philip a bennett died in previous congress#marion t bennett (r)#january 12 , 1943
california 2nd#harry l englebright (r)#died may 13 , 1943#clair engle (d)#august 31 , 1943
kansas 2nd#ulysses s guyer (r)#died june 5 , 1943#errett p scrivner (r)#september 14 , 1943
new york 32nd#francis d culkin (r)#died august 4 , 1943#hadwen c fuller (r)#november 2 , 1943
kentucky 4th#edward w creal (d)#died october 13 , 1943#chester o carrier (r)#november 30 , 1943
pennsylvania 17th#j william ditter (r)#died november 21 , 1943#vacant until the next congress#vacant until the next congress
alabama 3rd#henry b steagall (d)#died november 22 , 1943#george w andrews (d)#march 14 , 1944
colorado 1st#lawrence lewis (d)#died december 9 , 1943#dean m gillespie (r)#march 7 , 1944
illinois 19th#william h wheat (r)#died january 16 , 1944#rolla c mcmillen (r)#june 13 , 1944
illinois 7th#leonard w schuetz (d)#died february 13 , 1944#vacant until the next congress#vacant until the next congress
new york 4th#thomas h cullen (d)#died march 1 , 1944#john j rooney (d)#june 6 , 1944
new york 11th#james a o'leary (d)#died march 16 , 1944#ellsworth b buck (r)#june 6 , 1944
california 16th#will rogers , jr (d)#resigned may 23 , 1944 to enter the us army#vacant until the next congress#vacant until the next congress
virginia 2nd#winder r harris (d)#resigned september 15 , 1944#ralph hunter daughton (d)#november 7 , 1944
florida 3rd#robert l f sikes (d)#resigned october 19 , 1944 to enter the us army#vacant until the next congress#vacant until the next congress
south carolina 2nd#hampton p fulmer (d)#died october 19 , 1944#willa l fulmer (r)#november 7 , 1944
