station#municipality#county#former railroad#closed
ampere#east orange#essex , nj#lackawanna#1991
arlington#kearney#hudson , nj#erie#2002
benson street#glen ridge#essex , nj#erie#2002
fairmount avenue#hackensack#bergen , nj#erie#1983
finderne#finderne#somerset , nj#jersey central#2006
great notch#great notch#passaic , nj#erie#2010
grove street#east orange#essex , nj#lackawanna#1991
harmon cove#secaucus#hudson , nj#erie#2003
harrison#harrison#hudson , nj#lackawanna#1984
north newark#newark#essex , nj#lackawanna#1984
north rahway#rahway#fairfield , nj#pennsylvania#1993
roseville avenue#newark#essex , nj#lackawanna#1984
rowe street#bloomfield township#essex , nj#erie#2002
