rocket launch#launch date#mission#institutional authority#launch site#outcomes#derivatives
rehbar - i#june 7 , 1962 , 14:45 gmt#aeronomy#suparco#sonmiani terminal#level 1 , success#nike - cajun
rehbar - ii#june 11 , 1962 , 14:50 gmt#aeronomy#suparco#sonmiani terminal#level 1 , success#nike - cajun
rehbar - 3#march 18 , 1964 , 14:50 gmt#aeronomy#suparco#sonmiani terminal#level 1 , success#judi - dart
rehbar - 4#january 12 , 1966 , 12:30 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#judi - dart
rehbar - 5#january 26 , 1966 , 12:18 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#judi - dart
rehbar - 6#february 16 , 1966 , 04:30 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#judi - dart
rehbar - 7#january 26 , 1966 , 12:18 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#judi - dart
rehbar - 15#may 3 , 1967 , 14:29 gmt#aeronomy#suparco#sonmiani terminal#level 1 , success#centaure
shahpar - 1#may 5 , 1967 , 14:29 gmt#test mission#suparco#sonmiani terminal#level 1 , success#dragon
rehbar - 16#may 7 , 1967 , 14:30 gmt#aeronomy#suparco#sonmiani terminal#level 1 , success#centaure
rehbar - 17#march 23 , 1968 , 19:04 gmt#aeronomy#suparco#sonmiani terminal#level 1 , success#centaure
shahpar - 2#march 29 , 1968 , 19:20 gmt#test mission#suparco#sonmiani terminal#level 1 , success#dragon
rehbar - 18#april 3 , 1968 , 05:38 gmt#aeronomy#suparco#sonmiani terminal#level 1 , success#centaure
rehbar - 19#february 9 , 1969 , 13:46 gmt#aeronomy#suparco#sonmiani terminal#level 2 , failure#centaure
rehbar - 20#february 13 , 1969 , 13:48 gmt#aeronomy#suparco#sonmiani terminal#level 2 , failure#centaure
rehnuma - 1#march 31 , 1969 , 14:18 gmt#aeronomy#suparco#sonmiani terminal#level 1 , partial success#centaure
rehnuma - 2#june 16 , 1969 , 14:34 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#judi - dart
rehnuma - 3#july 20 , 1969 , 14:30 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#judi - dart
rehnuma - 4#july 30 , 1969 , 14:45 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#judi - dart
rehnuma - 5#august 15 , 1969 , 14:30 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#judi - dart
rehnuma - 6#september 10 , 1969 , 14:30 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#judi - dart
rehnuma - 7#october 22 , 1969 , 13:50 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#judi - dart
rehnuma - 8#november 19 , 1969 , 13:10 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#judi - dart
rehnuma - 9#november 20 , 1969 , 13:50 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#judi - dart
rehnuma - 10#december 17 , 1969 , 13:10 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#judi - dart
rehnuma - 11#december 31 , 1969 , 13:50 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#judi - dart
judi - dart 1#january 14 , 1970 , 13:00 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#judi - dart
judi - dart 1#january 14 , 1970 , 15:15 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#judi - dart
judi - dart 1#january 14 , 1970 , 14:00 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#judi - dart
judi - dart 1#february 11 , 1970 , 13:30 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#judi - dart
judi - dart 2#march 11 , 1970 , 14:30 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#judi - dart
rehbar 21#march 27 , 1970 , 00:00 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#nike - cajun
rehbar 22#march 28 , 1970 , 15:45 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#nike - cajun
judi - dart 2#march 28 , 1970 , 00:00 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#judi - dart
judi - dart 1#april 15 , 1970 , 14:45 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#judi dart
judi - dart 1#april 15 , 1970 , 13:45 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#judi dart
judi - dart 1#june 17 , 1970 , 14:50 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#judi dart
judi - dart 1#july 15 , 1970 , 15:05 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#judi dart
judi - dart 1#october 21 , 1970 , 15:45 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#judi dart
judi - dart 1#november 25 , 1970 , 13:14 gmt#aeronomy#suparco#sonmiani terminal#level 2 , success#judi dart
judi - dart 1#december 30 , 1970 , 14:50 gmt#aeronomy#suparco#sonmiani terminal#level 1 , success#judi dart
rehbar - 23#april 7 , 1972 , 14:20 gmt#ionosphere mission#suparco#sonmiani terminal#level 1 , success#centaure
rehbar - 24#april 8 , 1972 , 14:18 gmt#ionosphere mission#suparco#sonmiani terminal#level 1 , success#centaure
shahpar - 3#april 28 , 1972 , 00:18 gmt#test mission#suparco#sonmiani terminal#level 1 , success#centaure
