score#pos#inn#venue#h / a / n
113#2#1#r premadasa stadium , colombo#away
124#1#2#bangabandhu stadium , dhaka#neutral
105#2#1#sharjah cricket association stadium , sharjah#neutral
109#1#1#r premadasa stadium , colombo#away
107#2#2#queens sports club , bulawayo#away
130#1#1#vidarbha cricket association ground , nagpur#home
183#2#1#county ground , taunton#neutral
139#2#1#gymkhana club ground , nairobi#neutral
153#1#1#captain roop singh stadium , gwalior#home
100#2#2#melbourne cricket ground , melbourne#away
141#2#1#adelaide oval , adelaide#neutral
105♠#1#2#keenan stadium , jamshedpur#home
135♠#1#2#bangabandhu stadium , dhaka#away
141♠#1#1#gymkhana club ground , nairobi#neutral
117♠#1#1#gymkhana club ground , nairobi#neutral
144♠#2#1#sardar patel stadium , motera#home
127♠#1#1#new wanderers stadium , johannesburg#away
111♠#1#1#boland park , paarl#neutral
117♠#2#2#r premadasa stadium , colombo#neutral
112♠#3#1#city oval , pietermaritzburg#neutral
107♠#3#2#newlands cricket ground , cape town#neutral
111♠#3#1#kingsmead , durban#neutral
