opposing team#against#date#venue#status
western transvaal#9#june 22 , 1955#olen park , potchefstroom#tour match
giqualand west#14#june 25 , 1955#de beers stadium , kimberley#tour match
northern universities#6#june 29 , 1955#ellis park , johannesburg#tour match
orange free state#3#july 2 , 1955#loubser park , kroonstad#tour match
south west africa#0#july 5 , 1955#mable volk stadium , windhoek#tour match
western province#3#july 9 , 1955#newlands , cape town#tour match
south west districts#3#july 13 , 1955#recreation ground , george#tour match
eastern province#20#july 16 , 1955#crusaders ground , port elizabeth#tour match
north eastern district#6#july 20 , 1955#aliwal north#tour match
transvaal#13#july 23 , 1955#ellis park , johannesburg#tour match
rhodesia#14#july 27 , 1955#rokhana ground , kitwe#tour match
rhodesia#12#july 30 , 1955#police ground , salisbury#tour match
south africa#22#august 6 , 1955#ellis park , johannesburg#test match
central university#14#august 10 , 1955#kingsmead , durban#tour match
boland#0#august 13 , 1955#wellington#tour match
western province universities#17#august 16 , 1955#newlands , cape town#tour match
south africa#25#august 20 , 1955#newlands , cape town#test match
eastern transvaal#17#august 24 , 1955#pam brink , springs#tour match
northern transvaal#11#august 27 , 1955#loftus versfeld , pretoria#tour match
south africa#6#september 3 , 1955#loftus versfeld , pretoria#test match
natal#8#september 10 , 1955#kingsmead , durban#tour match
junior springboks#12#september 14 , 1955#free state stadium , bloemfontein#tour match
border#14#september 17 , 1955#east london#tour match
south africa#22#september 24 , 1955#crusaders ground , port elizabeth#test match
east africa#12#september 27 , 1955#ngong road ground , nairobi#tour match
