reign#days held#location#successful defenses#event
1#106#brandon , florida#1#the usual suspects
1#27#bushnell , florida#1#heatstroke 2005: night two
1#267#arcadia , florida#13#big year one bash : night one
1#105#crystal river , florida#4#bloodbath
2#35#arcadia , florida#0#second year spectacular : night two
1#391#brandon , florida#6#southern justice
1#407#crystal river , florida#5#unstoppable 2007
1#287#crystal river , florida#2#unstoppable 2008
1#301#crystal river , florida#2#fallout 2009
1#454#crystal river , florida#3#cage of pain iii
1#462#brooksville , florida#0#jeff peterson memorial cup 2011 night 1
1#154#tampa , florida#2#everything burns
1#211 +#ybor city , florida#0#declaration of independence
