rider#manufacturer#laps#time#grid
stefan bradl#aprilia#19#41:05.176#13
mike di meglio#derbi#19#+ 0.881#5
joan olivé#derbi#19#+ 4.070#10
gábor talmácsi#aprilia#19#+ 4.118#1
nicolas terol#aprilia#19#+ 7.048#2
bradley smith#aprilia#19#+ 9.334#4
sandro cortese#aprilia#19#+ 12.813#6
pol espargaro#derbi#19#+ 16.491#7
andrea iannone#aprilia#19#+ 17.637#3
simone corsi#aprilia#19#+ 17.855#8
scott redding#aprilia#19#+ 18.964#17
sergio gadea#aprilia#19#+ 29.920#9
esteve rabat#ktm#19#+ 38.445#15
dominique aegerter#derbi#19#+ 54.637#24
robin lasser#aprilia#19#+ 54.797#22
pablo nieto#ktm#19#+ 55.723#28
lukas sembera#aprilia#19#+ 56.786#36
efren vazquez#aprilia#19#+ 59.166#19
lorenzo zanetti#ktm#19#+ 59.330#20
pere tutusaus#aprilia#19#+ 59.340#30
michael ranseder#aprilia#19#+ 1:00.307#25
marco ravaioli#aprilia#19#+ 1:07.401#33
randy krummenacher#ktm#19#+ 1:11.701#26
jules cluzel#loncin#19#+ 1:19.343#27
hugo van den berg#aprilia#19#+ 1:30.988#35
alexis masbou#loncin#19#+ 1:31.018#32
robert muresan#aprilia#19#+ 1:31.149#31
bastien chesaux#aprilia#19#+ 1:33.222#34
louis rossi#honda#19#+ 1:33.600#37
michal prasek#aprilia#18#+ 1 lap#38
andrea touskova#aprilia#18#+ 1 lap#39
karel pešek#aprilia#17#accident#29
steve bonsey#aprilia#15#retirement#18
marc marquez#ktm#6#accident#12
jonas folger#aprilia#1#retirement#23
raffaele de rosa#ktm#0#accident#11
tomoyoshi koyama#ktm#0#accident#14
takaaki nakagami#aprilia#0#accident#21
danny webb#aprilia#0#accident#16
