season#games#lost#tied#points#pct %#goals for#goals against#penalty minutes
1995 - 96#58#7#-#100#0.862#350#232#1790
1996 - 97#64#12#-#102#0.797#400#210#2571
1997 - 98#64#10#-#107#0.836#347#198#2680
1998 - 99#71#19#-#97#0.683#342#242#2746
1999 - 00#70#16#-#100#0.714#297#221#2234
2000 - 01#72#17#-#105#0.729#263#192#2043
2001 - 02#72#22#-#97#0.674#255#209#2677
2002 - 03#72#22#-#95#0.660#245#182#1930
2003 - 04#72#13#10#108#0.750#240#177#1594
2004 - 05#72#29#8#78#0.542#206#222#1519
2005 - 06#72#30#8#76#0.528#213#214#1811
