game#date#opponent#score#record
55#2 / 2 / 1974#houston rockets#117 - 107#24 - 31
56#2 / 3 / 1974#houston rockets#112 - 123#24 - 32
57#2 / 5 / 1974#capital bullets#121 - 103#25 - 32
58#2 / 6 / 1974#los angeles lakers#107 - 103#26 - 32
59#2 / 8 / 1974#philadelphia 76ers#84 - 104#26 - 33
60#2 / 9 / 1974#cleveland cavaliers#99 - 90#27 - 33
61#2 / 11 / 1974#philadelphia 76ers#95 - 116#27 - 34
62#2 / 14 / 1974#golden state warriors#105 - 121#27 - 35
63#2 / 16 / 1974#phoenix suns#123 - 124#27 - 36
64#2 / 17 / 1974#los angeles lakers#113 - 110#28 - 36
65#2 / 20 / 1974#milwaukee bucks#94 - 110#28 - 37
66#2 / 23 / 1974#new york knicks#90 - 98#28 - 38
67#2 / 24 / 1974#boston celtics#96 - 111#28 - 39
68#2 / 27 / 1974#kansas city kings#76 - 85#28 - 40
