week#date#result#record#opponent#points for#points against#first downs#attendance
1#september 19#win#1 - 0#buffalo bills#49#37#19#46206
2#september 26#win#2 - 0#philadelphia eagles#42#7#23#65358
3#october 3#loss#2 - 1#washington redskins#16#20#20#61554
4#october 11#win#3 - 1#new york giants#20#13#21#68378
5#october 17#loss#3 - 2#new orleans saints#14#24#20#83088
6#october 24#win#4 - 2#new england patriots#44#21#20#65708
7#october 31#loss#4 - 3#chicago bears#19#23#26#55049
8#november 7#win#5 - 3#st louis cardinals#16#13#20#50486
9#november 14#win#6 - 3#philadelphia eagles#20#7#21#60178
10#november 21#win#7 - 3#washington redskins#13#0#16#53041
11#november 25#win#8 - 3#los angeles rams#28#21#15#66595
12#december 4#win#9 - 3#new york jets#52#10#26#66689
13#december 12#win#10 - 3#new york giants#42#14#23#62815
14#december 18#win#11 - 3#st louis cardinals#31#12#18#66672
