season#champion#motorcycle#wins#2nd pl#3rd pl#team
1988#  fred merkel#honda rc30#2#2#1#rumi honda
1989#  fred merkel#honda rc30#3#2#5#rumi honda
1990#  raymond roche#ducati 851#8#7#2#squadra corse ducati lucchinelli
1991#  doug polen#ducati 888#17#4#0#fast by ferracci ducati
1992#  doug polen#ducati 888#9#4#2#team police ducati
1993#  scott russell#kawasaki ninja zx - 7rr#5#12#1#team muzzy kawasaki
1994#  carl fogarty#ducati 916#10#4#0#virginio ferrari ducati corse
1995#  carl fogarty#ducati 916#13#6#0#virginio ferrari ducati corse
1996#  troy corser#ducati 916#7#5#1#promotor racing team
1997#  john kocinski#honda rc45#9#4#4#castrol honda - hrc
1998#  carl fogarty#ducati 916#3#6#5#ducati performance
1999#  carl fogarty#ducati 996#11#6#2#ducati performance
2000#  colin edwards#honda vtr1000 sp / rc51#8#2#1#castrol honda - hrc
2001#  troy bayliss#ducati 996r#6#6#3#ducati infostrada
2002#  colin edwards#honda vtr1000 sp - 2 / rc51#11#10#4#castrol honda - hrc
2003#  neil hodgson#ducati 999f03#13#7#0#ducati fila
2004#  james toseland#ducati 999f04#3#9#2#ducati fila
2005#  troy corser#suzuki gsx - r1000 k5#8#5#5#alstare suzuki corona
2006#  troy bayliss#ducati 999f06#12#3#1#ducati xerox
2007#  james toseland#honda cbr1000rr#8#5#1#hannspree ten kate honda
2008#  troy bayliss#ducati 1098 f08#13#6#5#ducati xerox team
2009#  ben spies#yamaha yzf - r1#14#2#1#yamaha world superbike team
2010#  max biaggi#aprilia rsv4 1000#10#2#2#aprilia alitalia racing
2011#  carlos checa#ducati 1098r#15#0#6#althea racing
2012#  max biaggi#aprilia rsv4 1000#5#2#4#aprilia racing team
2013#  tom sykes#kawasaki ninja zx - 10r#9#4#5#kawasaki racing team
