res#record#opponent#method#event#round#time#location
win#13 - 7#cole miller#decision (unanimous)#ufc fight night : shogun vs sonnen#3#5:00#boston , massachusetts , united states
win#12 - 7#michihiro omigawa#decision (unanimous)#ufc on fox : shogun vs vera#3#5:00#los angeles , california , united states
loss#11 - 7#diego nunes#decision (unanimous)#ufc 141#3#5:00#las vegas , nevada , united states
loss#11 - 6#tyson griffin#decision (majority)#ufc live : kongo vs barry#3#5:00#pittsburgh , pennsylvania , united states
loss#11 - 5#josé aldo#ko (punches)#wec 51#2#1:32#broomfield , colorado , united states
win#11 - 4#mike brown#ko (punches)#wec 48#1#2:22#sacramento , california , united states
win#10 - 4#leonard garcia#decision (unanimous)#wec 44#3#5:00#las vegas , nevada , united states
win#9 - 4#john franchi#decision (unanimous)#wec 41#3#5:00#sacramento , california , united states
loss#8 - 4#thiago tavares#decision (unanimous)#ufc 94#3#5:00#las vegas , nevada , united states
loss#8 - 3#rob emerson#ko (punches)#ufc 87#1#0:12#minneapolis , minnesota , united states
win#8 - 2#jeff cox#submission (guillotine choke)#ufc fight night : florian vs lauzon#1#1:41#broomfield , colorado , united states
win#7 - 2#nate mohr#submission (achilles lock)#ufc 79#1#1:31#las vegas , nevada , united states
loss#6 - 2#nate diaz#tko (injury)#the ultimate fighter 5 finale#2#0:20#las vegas , nevada , united states
win#6 - 1#sammy morgan#decision (unanimous)#rsf - shooto challenge 2#3#5:00#belleville , illinois , united states
win#5 - 1#jorge santiago#ko (punch)#kotc 27 - aftermath#1#0:21#san jacinto , california , united states
loss#4 - 1#sean sherk#decision (unanimous)#reality submission fighting 3#1#18:00#belleville , illinois , united states
win#4 - 0#pat benson#submission (guillotine choke)#reality submission fighting 2#1#2:01#belleville , illinois , united states
win#3 - 0#darren bryant#submission (heel hook)#kage kombat 14#1#0:35#los angeles , california , united states
win#2 - 0#timothy morris#technical submission (choke)#kage kombat 12#1#0:16#los angeles , california , united states
win#1 - 0#danny henderson#submission (armbar)#kage kombat 12#1#0:17#los angeles , california , united states
