season#team#country#apps#goals
1997#sogdiana jizak#uzbekistan#23#1
1998#sogdiana jizak#uzbekistan#11#1
1998#fc pakhtakor tashkent#uzbekistan#6#0
2000#sogdiana jizak#uzbekistan#15#0
2000#qyzylqum zarashfan#uzbekistan#16#6
2001#qyzylqum zarashfan#uzbekistan#27#5
2002#qyzylqum zarashfan#uzbekistan#23#0
2003#fc ordabasy#kazakhstan#27#2
2004#fc ordabasy#kazakhstan#13#2
2004#fc yassi#kazakhstan#11#0
2005#fc ordabasy#kazakhstan#14#0
2006#sogdiana jizak#uzbekistan#14#2
2006#fc atyrau#kazakhstan#14#2
2007#fc atyrau#kazakhstan#2#0
2009#fk samarqand - dinamo#uzbekistan#0#0
