no in series#no in season#title#directed by#written by :#original air date
135#1#causa mortis#ed sherin#rené balcer#september 18 , 1996
136#2#id#constantine makris#ed zuckerman#september 25 , 1996
137#3#good girl#jace alexander#jeremy r littman#october 7 , 1996
138#4#survivor#vincent misiano#barry m schkolnick#october 23 , 1996
139#5#corruption#matthew penn#gardner stern & rené balcer#october 30 , 1996
140#6#double blind#christopher misiano#jeremy r littman & william n fordes#november 6 , 1996
141#7#deadbeat#constantine makris#ed zuckerman & i c rapoport#november 13 , 1996
142#8#family business#lewis h gould#gardner stern & barry m schkolnick#november 20 , 1996
143#9#entrapment#matthew penn#rené balcer & richard sweren#january 8 , 1997
144#10#legacy#brian mertes#ed zuckerman & jeremy r littman#january 15 , 1997
145#11#menace#constantine makris#i c rapoport & barry m schkolnick#february 5 , 1997
146#12#barter#dan karlok#eddie feldmann & rené balcer#february 12 , 1997
147#13#matrimony#lewis h gould#ed zuckerman & richard sweren#february 19 , 1997
148#14#working mom#jace alexander#jeremy r littman & i c rapoport#february 26 , 1997
149#15#d - girl#ed sherin#gardner stern , ed zuckerman , & rené balcer#march 13 , 1997
150#16#turnaround#ed sherin#gardner stern , ed zuckerman , & rené balcer#march 20 , 1997
151#17#showtime#ed sherin#gardner stern , ed zuckerman , & rené balcer#march 27 , 1997
152#18#mad dog#christopher misiano#rené balcer#april 2 , 1997
153#19#double down#arthur w forney#richard sweren , shimon wincelberg , & ed zuckerman#april 16 , 1997
154#20#we like mike#david platt#gardner stern & i c rapoport#april 30 , 1997
155#21#passion#constantine makris#barry m schkolnick & richard sweren#may 7 , 1997
156#22#past imperfect#christopher misiano#janis diamond#may 14 , 1997
