round#date#home team#score#away team#crowd#stadium#match details
1#25 august 2007#queensland roar#2 - 2#adelaide united#16828#suncorp stadium#report summary
2#1 september 2007#sydney fc#2 - 2#adelaide united#14233#sydney football stadium#report summary
3#7 september 2007#adelaide united#1 - 1#melbourne victory#12231#hindmarsh stadium#report summary
4#15 september 2007#newcastle jets#1 - 0#adelaide united#13627#energyaustralia stadium#report summary
5#22 september 2007#wellington phoenix#2 - 2#adelaide united#12127#westpac stadium#report summary
6#30 september 2007#adelaide united#2 - 1#central coast mariners#11019#hindmarsh stadium#report summary
7#7 october 2007#perth glory#0 - 0#adelaide united#6252#members equity stadium#report summary
8#12 october 2007#adelaide united#4 - 1#melbourne victory#13372#hindmarsh stadium#report summary
9#20 october 2007#sydney fc#0 - 1#adelaide united#12922#sydney football stadium#report summary
10#28 october 2007#adelaide united#4 - 1#wellington phoenix#11740#hindmarsh stadium#report summary
11#2 november 2007#adelaide united#0 - 1#queensland roar#10705#hindmarsh stadium#report summary
12#10 november 2007#central coast mariners#2 - 0#adelaide united#11680#bluetongue stadium#report summary
13#18 november 2007#adelaide united#1 - 1#newcastle jets#10256#hindmarsh stadium#report summary
14#23 november 2007#adelaide united#1 - 1#perth glory#10678#hindmarsh stadium#report summary
15#30 november 2007#wellington phoenix#1 - 2#adelaide united#18345#westpac stadium#report summary
16#8 december 2007#melbourne victory#2 - 2#adelaide united#22466#telstra dome#report summary
17#14 december 2007#adelaide united#1 - 2#central coast mariners#11123#hindmarsh stadium#report summary
18#28 december 2007#adelaide united#1 - 3#sydney fc#25039#adelaide oval#report summary
19#4 january 2008#newcastle jets#2 - 1#adelaide united#13047#energyaustralia stadium#report summary
20#13 january 2008#perth glory#3 - 2#adelaide united#8025#members equity stadium#report summary
21#20 january 2008#adelaide united#2 - 0#queensland roar#10803#hindmarsh stadium#report summary
