date#visitor#score#home#leading scorer#attendance#record
november 1#detroit#91 - 80#miami#ricky davis (23)#19600#0 - 1
november 2#miami#85 - 87#indiana#daequan cook (17)#12887#0 - 2
november 4#charlotte#90 - 88#miami#udonis haslem (18)#19600#0 - 3
november 7#miami#78 - 88#san antonio#shaquille o'neal (17)#17503#0 - 4
november 9#phoenix#106 - 101#miami#shaquille o'neal (25)#19600#0 - 5
november 11#miami#75 - 72#new york#udonis haslem (16)#19763#1 - 5
november 13#miami#76 - 91#charlotte#shaquille o'neal (17)#12169#1 - 6
november 14#seattle#104 - 95#miami#ricky davis (19)#19600#1 - 7
november 16#miami#91 - 92#boston#dwyane wade (23)#18624#1 - 8
november 17#miami#91 - 87#new jersey#dwyane wade (23)#16797#2 - 8
november 21#atlanta#82 - 79#miami#shaquille o'neal (18)#19600#2 - 9
november 23#houston#91 - 98#miami#dwyane wade (31)#19600#3 - 9
november 24#miami#99 - 120#orlando#dwyane wade (32)#17519#3 - 10
november 27#charlotte#90 - 110#miami#ricky davis (23)#19600#4 - 10
november 30#boston#95 - 85#miami#jason williams (22)#19600#4 - 11
