date#result#score#venue#competition
01 - jun - 62#d#1 - 1#tehran , iran#friendly
03 - jun - 62#l#1 - 2#tehran , iran#friendly
02 - oct - 63#w#4 - 1#tehran , iran#1964 olympic games qualifier
01 - nov - 63#l#0 - 1#lahore , pakistan#1964 olympic games qualifier
12 - dec - 63#w#4 - 0#tehran , iran#1964 olympic games qualifier
02 - jan - 64#d#0 - 0#baghdad , iraq#1964 olympic games qualifier
06 - jun - 64#w#3 - 0#tehran , iran#1964 olympic games qualifier
19 - jun - 64#w#3 - 1#calcutta , india#1964 olympic games qualifier
06 - oct - 64#l#0 - 4#tokyo , japan#1964 olympic games
11 - oct - 64#d#1 - 1#tokyo , japan#1964 olympic games
15 - oct - 64#l#0 - 1#tokyo , japan#1964 olympic games
22 - may - 65#l#1 - 2#tehran , iran#friendly
24 - may - 65#w#2 - 1#tehran , iran#friendly
23 - jul - 65#w#4 - 1#tehran , iran#1965 rcd cup
25 - jul - 65#d#0 - 0#tehran , iran#1965 rcd cup
16 - mar - 66#d#0 - 0#tehran , iran#friendly
10 - dec - 66#w#2 - 0#bangkok , thailand#1966 asian games
11 - dec - 66#l#1 - 3#bangkok , thailand#1966 asian games
13 - dec - 66#w#4 - 1#bangkok , thailand#1966 asian games
16 - dec - 66#w#1 - 0#bangkok , thailand#1966 asian games
17 - dec - 66#l#0 - 1#bangkok , thailand#1966 asian games
18 - dec - 66#w#1 - 0#bangkok , thailand#1966 asian games
20 - dec - 66#l#0 - 1#bangkok , thailand#1966 asian games
24 - nov - 67#w#2 - 0#dacca , pakistan#1967 rcd cup
26 - nov - 67#l#0 - 1#dacca , pakistan#1967 rcd cup
10 - may - 68#w#2 - 0#tehran , iran#1968 asian cup
13 - may - 68#w#4 - 0#tehran , iran#1968 asian cup
16 - may - 68#w#3 - 1#tehran , iran#1968 asian cup
19 - may - 68#w#2 - 1#tehran , iran#1968 asian cup
07 - mar - 69#w#2 - 1#tehran , iran#1969 friendship cup
09 - mar - 69#w#2 - 1#tehran , iran#1969 friendship cup
12 - mar - 69#w#9 - 1#tehran , iran#1969 friendship cup
13 - sep - 69#w#4 - 2#ankara , turkey#1969 rcd cup
17 - sep - 69#l#0 - 4#ankara , turkey#1969 rcd cup
